model,sample,nobs,pseudo_r2,dispersion,status,term,estimate,std.error,statistic,p.value,conf.low,conf.high
origin_destination_year_fe,full_or_named_subsample,22054,0.7137018571018936,8.331502758308325,estimated,occ_similarity,0.5217565165583925,0.40032085815847657,1.3033458185479876,0.19245672516608048,-0.2628579476923889,1.306370980809174
origin_destination_year_fe,full_or_named_subsample,22054,0.7137018571018936,8.331502758308325,estimated,same_department,3.688683412945969,0.2521148600363191,14.630963888501398,1.7824391302711137e-48,3.194547367307427,4.182819458584511
origin_destination_year_fe,full_or_named_subsample,22054,0.7137018571018936,8.331502758308325,estimated,log_N_d:D_origin,0.028637975638768257,0.09349635972002245,0.30630043484607855,0.7593759081583961,-0.1546115220980771,0.21188747337561364
origin_destination_year_fe,full_or_named_subsample,22054,0.7137018571018936,8.331502758308325,estimated,occ_similarity:D_origin,-0.6727870677898566,0.344584165488768,-1.952460777864114,0.05088352324627052,-1.3481596217906318,0.002585486210918364
origin_destination_year_fe,full_or_named_subsample,22054,0.7137018571018936,8.331502758308325,estimated,same_department:D_origin,4.616808440991115,0.5316245381066038,8.684340375698255,3.809464917230961e-18,3.5748434930044306,5.6587733889778
origin_destination_year_fe,full_or_named_subsample,22054,0.7137018571018936,8.331502758308325,estimated,log_N_o:D_destination,-0.0038652786498334516,0.04282796791167819,-0.09025127360244145,0.9280875400932737,-0.0878065532877598,0.0800759959880929
origin_destination_year_fe,full_or_named_subsample,22054,0.7137018571018936,8.331502758308325,estimated,occ_similarity:D_destination,-0.24208046331916883,0.22971404941291215,-1.0538339467606006,0.2919589485488568,-0.6923117269113309,0.20815080027299326
origin_destination_year_fe,full_or_named_subsample,22054,0.7137018571018936,8.331502758308325,estimated,same_department:D_destination,0.2828162723472577,0.15549881071192653,1.8187680732246663,0.06894682119297263,-0.021955796286929397,0.5875883409814449
pre_merger_1938_1942,full_or_named_subsample,617,0.5825325891228976,2.4695739624032527,estimated,log_N_o,2.3216254311558058,1.2236339837902612,1.8973201642900328,0.05778569525847813,-0.07665310733237396,4.719903969643985
pre_merger_1938_1942,full_or_named_subsample,617,0.5825325891228976,2.4695739624032527,estimated,I(I(log_N_o^2)),-0.1725799973954445,0.13897584210088237,-1.2417985369728424,0.21431090267783084,-0.4449676426342992,0.09980764784341023
pre_merger_1938_1942,full_or_named_subsample,617,0.5825325891228976,2.4695739624032527,estimated,log_N_d,-0.014135802977921365,0.6810845079465109,-0.020754844388607828,0.9834412189289272,-1.3490369089812666,1.320765303025424
pre_merger_1938_1942,full_or_named_subsample,617,0.5825325891228976,2.4695739624032527,estimated,I(I(log_N_d^2)),-0.031242364961623696,0.08878421815654783,-0.3518909735346875,0.7249200288822193,-0.20525623494400455,0.14277150502075717
pre_merger_1938_1942,full_or_named_subsample,617,0.5825325891228976,2.4695739624032527,estimated,occ_similarity,-0.12841075628809234,0.5987196697927406,-0.2144755931144611,0.8301761980049434,-1.3018797459175773,1.0450582333413927
post_merger_1944_1945,full_or_named_subsample,NA,NA,NA,failed,NA,NA,NA,NA,NA,NA,NA
