distance_category,year,n_pairs,n_pair_years,n_positive_pair_years,total_transfers,mean_flow_if_positive,median_flow_if_positive,max_flow
diff_kyoku,1938,12576,12576,38,51,1.3421052631578947,1,13
diff_kyoku,1939,13946,13946,38,61,1.605263157894737,1,7
diff_kyoku,1940,115118,115118,261,462,1.7701149425287357,1,50
diff_kyoku,1941,13724,13724,108,198,1.8333333333333333,1,14
diff_kyoku,1942,62540,62540,159,169,1.0628930817610063,1,3
diff_kyoku,1943,12146,12146,132,175,1.3257575757575757,1,21
diff_kyoku,1944,14964,14964,14,26,1.8571428571428572,1,10
diff_kyoku,1945,16912,16912,0,0,NA,NA,0
same_kyoku_diff_ka,1938,2676,2676,83,326,3.927710843373494,1,20
same_kyoku_diff_ka,1939,2824,2824,27,52,1.9259259259259258,1,18
same_kyoku_diff_ka,1940,11974,11974,157,1039,6.617834394904459,3,129
same_kyoku_diff_ka,1941,2278,2278,88,536,6.090909090909091,1,126
same_kyoku_diff_ka,1942,36370,36370,70,406,5.8,1,205
same_kyoku_diff_ka,1943,2616,2616,56,1817,32.44642857142857,1,1007
same_kyoku_diff_ka,1944,2592,2592,5,14,2.8,2,7
same_kyoku_diff_ka,1945,3394,3394,0,0,NA,NA,0
same_ka,1938,124,124,0,0,NA,NA,0
same_ka,1939,130,130,0,0,NA,NA,0
same_ka,1940,357,357,0,0,NA,NA,0
same_ka,1941,127,127,0,0,NA,NA,0
same_ka,1942,315,315,0,0,NA,NA,0
same_ka,1943,122,122,0,0,NA,NA,0
same_ka,1944,133,133,0,0,NA,NA,0
same_ka,1945,143,143,0,0,NA,NA,0
