lag_year,office_unit,pos_norm,n_position,office_total,position_share
1937,保健局 :: 庶務課,Unknown,25,65,0.38461538461538464
1937,保健局 :: 庶務課,兼,11,65,0.16923076923076924
1937,保健局 :: 庶務課,技師,3,65,0.046153846153846156
1937,保健局 :: 庶務課,技手,1,65,0.015384615384615385
1937,保健局 :: 庶務課,書記,4,65,0.06153846153846154
1937,保健局 :: 庶務課,雇,21,65,0.3230769230769231
1937,土木局 :: 下谷区出張所,Unknown,1,26,0.038461538461538464
1937,土木局 :: 下谷区出張所,技手,11,26,0.4230769230769231
1937,土木局 :: 下谷区出張所,書記,7,26,0.2692307692307692
1937,土木局 :: 下谷区出張所,雇,7,26,0.2692307692307692
1937,土木局 :: 世田谷区出張所,所長,1,26,0.038461538461538464
1937,土木局 :: 世田谷区出張所,技手,14,26,0.5384615384615384
1937,土木局 :: 世田谷区出張所,書記,4,26,0.15384615384615385
1937,土木局 :: 世田谷区出張所,雇,7,26,0.2692307692307692
1937,土木局 :: 中野区出張所,Unknown,2,10,0.2
1937,土木局 :: 中野区出張所,技手,2,10,0.2
1937,土木局 :: 中野区出張所,書記,2,10,0.2
1937,土木局 :: 中野区出張所,雇,4,10,0.4
1937,土木局 :: 京橋区出張所,Unknown,1,7,0.14285714285714285
1937,土木局 :: 京橋区出張所,技手,2,7,0.2857142857142857
1937,土木局 :: 京橋区出張所,書記,1,7,0.14285714285714285
1937,土木局 :: 京橋区出張所,雇,3,7,0.42857142857142855
1937,土木局 :: 向島区出張所,技手,4,7,0.5714285714285714
1937,土木局 :: 向島区出張所,書記,1,7,0.14285714285714285
1937,土木局 :: 向島区出張所,雇,2,7,0.2857142857142857
1937,土木局 :: 品川区出張所,技手,3,6,0.5
1937,土木局 :: 品川区出張所,書記,1,6,0.16666666666666666
1937,土木局 :: 品川区出張所,雇,2,6,0.3333333333333333
1937,土木局 :: 四谷区出張所,技手,4,9,0.4444444444444444
1937,土木局 :: 四谷区出張所,雇,5,9,0.5555555555555556
1937,土木局 :: 土木試験所,所長,3,12,0.25
1937,土木局 :: 土木試験所,技手,6,12,0.5
1937,土木局 :: 土木試験所,書記,1,12,0.08333333333333333
