measure,statistic,value
occ_similarity_n,nonmissing,64614
occ_similarity,mean,0.2612006475385061
occ_similarity,sd,0.3397712263975226
occ_similarity,median,0.03971507353947688
occ_similarity,p10,0
occ_similarity,p90,0.8568140115631158
occ_overlap_any_n,nonmissing,64614
occ_overlap_any,mean,0.5551118952548983
occ_overlap_any,sd,0.49695724281262943
occ_overlap_any,median,1
occ_overlap_any,p10,0
occ_overlap_any,p90,1
occ_overlap_top1_n,nonmissing,64614
occ_overlap_top1,mean,0.1515770576036153
occ_overlap_top1,sd,0.3586132227705552
occ_overlap_top1,median,0
occ_overlap_top1,p10,0
occ_overlap_top1,p90,1
occ_overlap_top3_n,nonmissing,64614
occ_overlap_top3,mean,0.4804841056117869
occ_overlap_top3,sd,0.49962285092057435
occ_overlap_top3,median,0
occ_overlap_top3,p10,0
occ_overlap_top3,p90,1
occ_jaccard_n,nonmissing,64614
occ_jaccard,mean,0.2085575234688513
occ_jaccard,sd,0.2486322445594736
occ_jaccard,median,0.14285714285714285
occ_jaccard,p10,0
occ_jaccard,p90,0.5714285714285714
occ_share_overlap_n,nonmissing,64614
occ_share_overlap,mean,0.21210502272097842
occ_share_overlap,sd,0.2747803636281783
occ_share_overlap,median,0.05263157894736842
occ_share_overlap,p10,0
occ_share_overlap,p90,0.6563983763983765
