kyoku,year,n_pairs_in_kyoku,n_positive_pairs,total_flows,top_pair_share,top2_pair_share,top3_pair_share,herfindahl
中央卸売市場,1940,272,5,20,0.25,0.5,0.75,0.23
中央卸売市場,1941,2,0,0,NA,NA,NA,NA
中央卸売市場,1944,20,0,0,NA,NA,NA,NA
交通局,1945,756,0,0,NA,NA,NA,NA
保健局,1939,156,1,3,1,1,1,1
保健局,1940,132,0,0,NA,NA,NA,NA
健民局,1943,342,15,179,0.45251396648044695,0.7206703910614525,0.8324022346368715,0.29871102649730036
健民局,1944,462,0,0,NA,NA,NA,NA
厚生局,1940,4160,20,94,0.5425531914893617,0.6382978723404256,0.7127659574468085,0.3159800814848347
厚生局,1941,420,26,276,0.45652173913043476,0.8478260869565217,0.8659420289855072,0.36292270531400966
厚生局,1942,182,0,0,NA,NA,NA,NA
土木局,1938,992,32,52,0.11538461538461539,0.19230769230769232,0.25,0.04585798816568048
土木局,1939,870,9,10,0.2,0.3,0.4,0.12000000000000002
土木局,1940,72,4,10,0.7,0.8,0.9,0.5199999999999999
土木局,1941,90,11,73,0.7671232876712328,0.821917808219178,0.863013698630137,0.5957965847250891
土木局,1942,30,3,6,0.6666666666666666,0.8333333333333334,1,0.5
土木局,1943,12,0,0,NA,NA,NA,NA
土木局,1944,20,0,0,NA,NA,NA,NA
市会事務局,1938,30,1,4,1,1,1,1
市会事務局,1939,20,0,0,NA,NA,NA,NA
市会事務局,1940,420,1,1,1,1,1,1
市会事務局,1941,6,0,0,NA,NA,NA,NA
市会事務局,1943,2,0,0,NA,NA,NA,NA
市会事務局,1944,30,0,0,NA,NA,NA,NA
市民局,1940,110,0,0,NA,NA,NA,NA
市民局,1941,12,2,2,0.5,1,1,0.5
市民局,1942,42,0,0,NA,NA,NA,NA
府会事務局,1942,32580,0,0,NA,NA,NA,NA
建築局,1940,552,0,0,NA,NA,NA,NA
復興事業局,1940,380,0,0,NA,NA,NA,NA
戰時生活局,1943,72,1,1,1,1,1,1
戰時生活局,1944,90,0,0,NA,NA,NA,NA
教育局,1938,12,0,0,NA,NA,NA,NA
教育局,1940,56,0,0,NA,NA,NA,NA
教育局,1942,20,3,13,0.8461538461538461,0.9230769230769231,1,0.7278106508875739
教育局,1943,72,2,138,0.9565217391304348,1,1,0.9168241965973536
教育局,1944,72,3,10,0.7,0.9,1,0.5399999999999999
教育局,1945,6,0,0,NA,NA,NA,NA
民生局,1945,930,0,0,NA,NA,NA,NA
水道局,1939,240,11,32,0.5625,0.6875,0.75,0.34375
水道局,1940,992,1,5,1,1,1,1
水道局,1941,12,3,5,0.6,0.8,1,0.44
水道局,1942,132,6,17,0.29411764705882354,0.47058823529411764,0.6470588235294118,0.19723183391003463
水道局,1943,90,2,61,0.9836065573770492,1,1,0.9677506046761624
水道局,1944,240,2,4,0.75,1,1,0.625
水道局,1945,380,0,0,NA,NA,NA,NA
港湾局,1941,72,5,6,0.3333333333333333,0.5,0.6666666666666666,0.2222222222222222
港湾局,1942,30,6,29,0.6896551724137931,0.8275862068965517,0.896551724137931,0.502972651605232
港湾局,1943,20,0,0,NA,NA,NA,NA
港湾局,1944,42,0,0,NA,NA,NA,NA
港湾局,1945,6,0,0,NA,NA,NA,NA
産業局,1938,2,0,0,NA,NA,NA,NA
監査局,1938,30,0,0,NA,NA,NA,NA
社会局,1938,1056,39,209,0.09090909090909091,0.17703349282296652,0.2631578947368421,0.06265882191341773
社会局,1939,992,0,0,NA,NA,NA,NA
社会局,1940,12,0,0,NA,NA,NA,NA
経済局,1940,1560,65,512,0.099609375,0.158203125,0.212890625,0.03282928466796875
経済局,1941,992,0,0,NA,NA,NA,NA
経済局,1942,72,0,0,NA,NA,NA,NA
経済局,1945,812,0,0,NA,NA,NA,NA
経理局,1943,272,15,321,0.40498442367601245,0.6697819314641744,0.822429906542056,0.27335720732523944
経理局,1944,210,0,0,NA,NA,NA,NA
計画局,1945,462,0,0,NA,NA,NA,NA
財務局,1938,42,0,0,NA,NA,NA,NA
財務局,1940,992,13,97,0.7525773195876289,0.8041237113402062,0.8556701030927835,0.5746625571261559
財務局,1941,56,5,11,0.36363636363636365,0.6363636363636364,0.8181818181818182,0.256198347107438
財務局,1942,420,0,0,NA,NA,NA,NA
道路局,1940,30,0,0,NA,NA,NA,NA
長官官房,1945,42,0,0,NA,NA,NA,NA
電気局,1938,240,5,17,0.5294117647058824,0.7647058823529411,0.8823529411764706,0.356401384083045
電気局,1939,306,6,7,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.18367346938775508
電気局,1940,2162,48,300,0.43,0.5066666666666667,0.56,0.20073333333333332
電気局,1941,506,36,163,0.19631901840490798,0.3496932515337423,0.48466257668711654,0.10519778689450111
電気局,1942,2862,52,341,0.6011730205278593,0.6920821114369502,0.7595307917888563,0.3766823470730386
電気局,1943,1722,21,1117,0.9015219337511191,0.9489704565801254,0.9829901521933752,0.8161673301599999
電気局,1944,1406,0,0,NA,NA,NA,NA
養育院,1938,272,6,44,0.45454545454545453,0.7727272727272727,0.8636363636363636,0.3233471074380165
養育院,1939,240,0,0,NA,NA,NA,NA
養育院,1940,72,0,0,NA,NA,NA,NA
養育院,1941,110,0,0,NA,NA,NA,NA
養育院,1943,12,0,0,NA,NA,NA,NA
