sample,flow_count,n_pair_years,share_positive_pair_years
full_panel,1,889,0.7192556634304207
full_panel,2,108,0.08737864077669903
full_panel,3,59,0.04773462783171521
full_panel,4,40,0.032362459546925564
full_panel,5,27,0.021844660194174758
full_panel,6,15,0.012135922330097087
full_panel,7,11,0.00889967637540453
full_panel,8,7,0.0056634304207119745
full_panel,9,6,0.0048543689320388345
full_panel,10,8,0.006472491909385114
full_panel,11,3,0.0024271844660194173
full_panel,12,2,0.0016181229773462784
full_panel,13,5,0.0040453074433656954
full_panel,14,4,0.003236245954692557
full_panel,15,3,0.0024271844660194173
full_panel,16,4,0.003236245954692557
full_panel,17,4,0.003236245954692557
full_panel,18,4,0.003236245954692557
full_panel,19,3,0.0024271844660194173
full_panel,20,3,0.0024271844660194173
full_panel,21,1,8.090614886731392e-4
full_panel,22,2,0.0016181229773462784
full_panel,23,2,0.0016181229773462784
full_panel,25,2,0.0016181229773462784
full_panel,28,1,8.090614886731392e-4
full_panel,30,1,8.090614886731392e-4
full_panel,31,1,8.090614886731392e-4
full_panel,32,1,8.090614886731392e-4
full_panel,38,1,8.090614886731392e-4
full_panel,40,1,8.090614886731392e-4
full_panel,48,1,8.090614886731392e-4
full_panel,49,1,8.090614886731392e-4
full_panel,50,1,8.090614886731392e-4
full_panel,51,2,0.0016181229773462784
full_panel,53,1,8.090614886731392e-4
full_panel,56,1,8.090614886731392e-4
full_panel,60,1,8.090614886731392e-4
full_panel,73,1,8.090614886731392e-4
full_panel,81,1,8.090614886731392e-4
full_panel,85,1,8.090614886731392e-4
full_panel,108,1,8.090614886731392e-4
full_panel,126,1,8.090614886731392e-4
full_panel,129,1,8.090614886731392e-4
full_panel,130,1,8.090614886731392e-4
full_panel,132,1,8.090614886731392e-4
full_panel,205,1,8.090614886731392e-4
full_panel,1007,1,8.090614886731392e-4
nondraft_full_panel,1,872,0.7206611570247934
nondraft_full_panel,2,103,0.08512396694214876
nondraft_full_panel,3,58,0.047933884297520664
nondraft_full_panel,4,40,0.03305785123966942
nondraft_full_panel,5,27,0.02231404958677686
nondraft_full_panel,6,15,0.012396694214876033
nondraft_full_panel,7,10,0.008264462809917356
nondraft_full_panel,8,7,0.005785123966942148
nondraft_full_panel,9,6,0.0049586776859504135
nondraft_full_panel,10,7,0.005785123966942148
nondraft_full_panel,11,3,0.0024793388429752068
nondraft_full_panel,12,2,0.001652892561983471
nondraft_full_panel,13,5,0.004132231404958678
nondraft_full_panel,14,4,0.003305785123966942
nondraft_full_panel,15,3,0.0024793388429752068
nondraft_full_panel,16,4,0.003305785123966942
nondraft_full_panel,17,3,0.0024793388429752068
nondraft_full_panel,18,4,0.003305785123966942
nondraft_full_panel,19,3,0.0024793388429752068
nondraft_full_panel,20,3,0.0024793388429752068
nondraft_full_panel,21,1,8.264462809917355e-4
nondraft_full_panel,22,2,0.001652892561983471
nondraft_full_panel,23,2,0.001652892561983471
nondraft_full_panel,25,2,0.001652892561983471
nondraft_full_panel,28,1,8.264462809917355e-4
nondraft_full_panel,30,1,8.264462809917355e-4
nondraft_full_panel,31,1,8.264462809917355e-4
nondraft_full_panel,32,1,8.264462809917355e-4
nondraft_full_panel,38,1,8.264462809917355e-4
nondraft_full_panel,40,1,8.264462809917355e-4
nondraft_full_panel,48,1,8.264462809917355e-4
nondraft_full_panel,49,1,8.264462809917355e-4
nondraft_full_panel,50,1,8.264462809917355e-4
nondraft_full_panel,51,2,0.001652892561983471
nondraft_full_panel,53,1,8.264462809917355e-4
nondraft_full_panel,56,1,8.264462809917355e-4
nondraft_full_panel,60,1,8.264462809917355e-4
nondraft_full_panel,73,1,8.264462809917355e-4
nondraft_full_panel,81,1,8.264462809917355e-4
nondraft_full_panel,85,1,8.264462809917355e-4
nondraft_full_panel,108,1,8.264462809917355e-4
nondraft_full_panel,126,1,8.264462809917355e-4
nondraft_full_panel,129,1,8.264462809917355e-4
nondraft_full_panel,130,1,8.264462809917355e-4
nondraft_full_panel,132,1,8.264462809917355e-4
nondraft_full_panel,205,1,8.264462809917355e-4
nondraft_full_panel,1007,1,8.264462809917355e-4
same_department,1,255,0.5246913580246914
same_department,2,54,0.1111111111111111
same_department,3,37,0.07613168724279835
same_department,4,27,0.05555555555555555
same_department,5,20,0.0411522633744856
same_department,6,11,0.02263374485596708
same_department,7,8,0.01646090534979424
same_department,8,4,0.00823045267489712
same_department,9,5,0.0102880658436214
same_department,10,6,0.012345679012345678
same_department,11,3,0.006172839506172839
same_department,12,2,0.00411522633744856
same_department,13,2,0.00411522633744856
