sample,year,total_pair_years,total_pairs,total_transfers,n_positive_pair_years,positive_pair_year_share,avg_flow_when_positive
full_panel,1938,15252,15252,377,121,0.007933385785470757,3.115702479338843
full_panel,1939,16770,16770,113,65,0.003875968992248062,1.7384615384615385
full_panel,1940,127092,127092,1501,418,0.0032889560318509425,3.590909090909091
full_panel,1941,16002,16002,734,196,0.012248468941382326,3.7448979591836733
full_panel,1942,98910,98910,575,229,0.0023152360731978567,2.510917030567686
full_panel,1943,14762,14762,1992,188,0.01273540170708576,10.595744680851064
full_panel,1944,17556,17556,40,19,0.0010822510822510823,2.1052631578947367
full_panel,1945,20306,20306,0,0,0,NA
nondraft_full_panel,1938,15252,15252,377,121,0.007933385785470757,3.115702479338843
nondraft_full_panel,1939,16770,16770,113,65,0.003875968992248062,1.7384615384615385
nondraft_full_panel,1940,127092,127092,1501,418,0.0032889560318509425,3.590909090909091
nondraft_full_panel,1941,16002,16002,734,196,0.012248468941382326,3.7448979591836733
nondraft_full_panel,1942,98910,98910,575,229,0.0023152360731978567,2.510917030567686
nondraft_full_panel,1943,14520,14520,1968,181,0.012465564738292011,10.87292817679558
nondraft_full_panel,1944,16770,16770,0,0,0,NA
nondraft_full_panel,1945,20306,20306,0,0,0,NA
same_department,1938,2676,2676,326,83,0.03101644245142003,3.927710843373494
same_department,1939,2824,2824,52,27,0.009560906515580737,1.9259259259259258
same_department,1940,11974,11974,1039,157,0.013111742107900452,6.617834394904459
same_department,1941,2278,2278,536,88,0.038630377524143986,6.090909090909091
same_department,1942,36370,36370,406,70,0.00192466318394281,5.8
same_department,1943,2616,2616,1817,56,0.021406727828746176,32.44642857142857
same_department,1944,2592,2592,14,5,0.0019290123456790122,2.8
same_department,1945,3394,3394,0,0,0,NA
same_department_nondraft,1938,2676,2676,326,83,0.03101644245142003,3.927710843373494
same_department_nondraft,1939,2824,2824,52,27,0.009560906515580737,1.9259259259259258
same_department_nondraft,1940,11974,11974,1039,157,0.013111742107900452,6.617834394904459
same_department_nondraft,1941,2278,2278,536,88,0.038630377524143986,6.090909090909091
same_department_nondraft,1942,36370,36370,406,70,0.00192466318394281,5.8
same_department_nondraft,1943,2580,2580,1797,53,0.02054263565891473,33.905660377358494
same_department_nondraft,1944,2518,2518,0,0,0,NA
same_department_nondraft,1945,3394,3394,0,0,0,NA
different_department,1938,12576,12576,51,38,0.0030216284987277355,1.3421052631578947
different_department,1939,13946,13946,61,38,0.0027247956403269754,1.605263157894737
different_department,1940,115118,115118,462,261,0.002267238833197241,1.7701149425287357
different_department,1941,13724,13724,198,108,0.007869425823375109,1.8333333333333333
different_department,1942,62540,62540,169,159,0.002542372881355932,1.0628930817610063
different_department,1943,12146,12146,175,132,0.010867775399308414,1.3257575757575757
different_department,1944,14964,14964,26,14,9.355787222667736e-4,1.8571428571428572
different_department,1945,16912,16912,0,0,0,NA
different_department_nondraft,1938,12576,12576,51,38,0.0030216284987277355,1.3421052631578947
different_department_nondraft,1939,13946,13946,61,38,0.0027247956403269754,1.605263157894737
different_department_nondraft,1940,115118,115118,462,261,0.002267238833197241,1.7701149425287357
different_department_nondraft,1941,13724,13724,198,108,0.007869425823375109,1.8333333333333333
different_department_nondraft,1942,62540,62540,169,159,0.002542372881355932,1.0628930817610063
different_department_nondraft,1943,11940,11940,171,128,0.010720268006700168,1.3359375
different_department_nondraft,1944,14252,14252,0,0,0,NA
different_department_nondraft,1945,16912,16912,0,0,0,NA
draft_affected_either_endpoint,1943,242,242,24,7,0.028925619834710745,3.4285714285714284
draft_affected_either_endpoint,1944,786,786,40,19,0.024173027989821884,2.1052631578947367
