flow_count,n_pair_years,share
0,64136,0.9926022224285759
1,252,0.0039000835732194263
2,52,8.047791500294054e-4
3,36,5.571547961742037e-4
4,27,4.178660971306528e-4
5,20,3.095304423190021e-4
6,11,1.7024174327545113e-4
7,7,1.0833565481165073e-4
8,4,6.190608846380041e-5
9,5,7.738261057975052e-5
10,6,9.285913269570062e-5
11,3,4.642956634785031e-5
12,2,3.0953044231900206e-5
13,2,3.0953044231900206e-5
14,3,4.642956634785031e-5
15,3,4.642956634785031e-5
16,4,6.190608846380041e-5
17,3,4.642956634785031e-5
18,4,6.190608846380041e-5
19,3,4.642956634785031e-5
20,3,4.642956634785031e-5
22,2,3.0953044231900206e-5
23,2,3.0953044231900206e-5
25,1,1.5476522115950103e-5
28,1,1.5476522115950103e-5
30,1,1.5476522115950103e-5
31,1,1.5476522115950103e-5
32,1,1.5476522115950103e-5
38,1,1.5476522115950103e-5
40,1,1.5476522115950103e-5
48,1,1.5476522115950103e-5
49,1,1.5476522115950103e-5
51,2,3.0953044231900206e-5
53,1,1.5476522115950103e-5
56,1,1.5476522115950103e-5
60,1,1.5476522115950103e-5
73,1,1.5476522115950103e-5
81,1,1.5476522115950103e-5
85,1,1.5476522115950103e-5
108,1,1.5476522115950103e-5
126,1,1.5476522115950103e-5
129,1,1.5476522115950103e-5
130,1,1.5476522115950103e-5
132,1,1.5476522115950103e-5
205,1,1.5476522115950103e-5
1007,1,1.5476522115950103e-5
