term,estimate,std.error,statistic,p.value,model
retained,0.09763707355860386,0.004818288118196106,20.263851219249567,8.577093782243002e-83,Retention: promotion
lag_has_draft,0.03661232893671562,0.015125335559881537,2.420596144248609,0.015588585900597756,Retention: promotion
productive,0.00692553879149865,0.0019873264942443097,3.484852041955048,5.036150410681846e-4,Retention: promotion
tenure,0.0010489864674416453,2.0080439261821578e-4,5.22392191607111,1.9445242237954487e-7,Retention: promotion
lag_has_draft:productive,-0.031399758210539586,0.008979349873297656,-3.496885482089814,4.81575964842354e-4,Retention: promotion
retained,0.4914522494254123,0.023538523092531544,20.87863573655322,6.76087432902707e-87,Retention: salary raise
lag_has_draft,-0.013472024593092317,0.01605215505664027,-0.8392657898927637,0.4014311907080794,Retention: salary raise
productive,-0.03764590099157198,0.003553102943945788,-10.595218203772474,1.7244217554055844e-25,Retention: salary raise
tenure,-5.247036692193124e-4,1.2368270660727875e-4,-4.2423365692130925,2.3240138115449024e-5,Retention: salary raise
lag_has_draft:productive,0.012337376919097177,0.017302388210587334,0.7130447409304996,0.4759101410190266,Retention: salary raise
dest_has_draft,-0.044274939565393065,0.011001567427919651,-4.0244210523159305,6.055959074132014e-5,Transfers: promotion
productive,-0.013891477714673885,0.004133087469801993,-3.3610413077803543,8.00038157437834e-4,Transfers: promotion
tenure,0.007026927078670088,5.815930934165207e-4,12.082205167518385,7.35517497768592e-32,Transfers: promotion
dest_has_draft:productive,0.06675331750686743,0.01419468435223609,4.702698267210977,2.853755772458564e-6,Transfers: promotion
dest_has_draft,-0.054816564656917796,0.04465935629674696,-1.2274374107114192,0.22047153696905597,Transfers: salary raise
productive,-0.24589352576535262,0.023838457317884813,-10.31499322654872,5.407966422253353e-22,Transfers: salary raise
tenure,-0.012681190898323775,0.0028574779109045603,-4.437896387555776,1.213994135251242e-5,Transfers: salary raise
dest_has_draft:productive,0.09838171533390566,0.0874476218421796,1.1250359159161503,0.26133388156454207,Transfers: salary raise
