term,estimate,std.error,statistic,p.value,model
n_drafted_male,0.4078540176821253,0.07610621969652005,5.359010331987024,1.0039703898557337e-7,total_internal
log(cumul_n_male + 1),1.6075943931341214,0.4346721829372304,3.6984064226770843,2.2684209190582404e-4,total_internal
n_drafted_male,0.22686738710515908,0.0729582819453492,3.1095494720544328,0.0019181909701376303,same_section
log(cumul_n_male + 1),1.0914595878602915,0.32114386964841846,3.3986623785009455,6.995540059983106e-4,same_section
n_drafted_male,0.10006733085902798,0.04030112019092489,2.4829913011093274,0.01316528198848121,same_department
log(cumul_n_male + 1),0.2424865582896886,0.14659690537957276,1.6541042095113516,0.09836984414349442,same_department
n_drafted_male,0.08091929971855572,0.015447067333280261,5.23848947976147,1.913046840892973e-7,different_department
log(cumul_n_male + 1),0.27364824698382567,0.055135784320365755,4.963169570487945,7.943289557284436e-7,different_department
n_drafted_male,0.2505945769702919,0.08597853731057079,2.9146178198530728,0.0036278375736864157,internal_near
log(cumul_n_male + 1),0.8261216217602719,0.12630915141872448,6.540473215765782,9.081346418117894e-11,internal_near
n_drafted_male,0.07798749897491646,0.05294913722073111,1.4728757269416302,0.14104876335518543,internal_far
log(cumul_n_male + 1),0.06534663358509407,0.06013309748038635,1.0866999426797899,0.27738932080081224,internal_far
n_drafted_male,0.07927194173684476,0.06424129824968824,1.2339716645939587,0.2174569029283216,internal_unknown_distance
log(cumul_n_male + 1),0.7161261377887164,0.4442497507767375,1.6119899595590619,0.10722906549307121,internal_unknown_distance
n_drafted_male,0.20569550888783747,0.09975314173965284,2.0620454183256216,0.039419936640395815,new_hires
log(cumul_n_male + 1),1.0923516954846595,0.18446322231178566,5.921785826978191,4.161398933348533e-9,new_hires
