label_type,label,parent_ka,kyoku,source_type,confidence,source_document,notes
ka,熱海第二健民修錬所,健民課,民生局,inferred_suffix,high,東京都訓令甲第4号(1943-07-01),健民修錬所は健民課系施設として扱う
ka,王子小児保健所,衛生課,民生局,inferred_suffix,high,東京都訓令甲第4号(1943-07-01),小児保健所は衛生課系施設として扱う
ka,日本橋小児保健所,衛生課,民生局,inferred_suffix,high,東京都訓令甲第4号(1943-07-01),小児保健所は衛生課系施設として扱う
ka,葛飾児童健康指導所,衛生課,民生局,inferred_suffix,high,東京都訓令甲第4号(1943-07-01),児童健康指導所は衛生課系施設として扱う
ka,下谷児童健康指導所,衛生課,民生局,inferred_suffix,high,東京都訓令甲第4号(1943-07-01),児童健康指導所は衛生課系施設として扱う
ka,深川児童健康指導所,衛生課,民生局,inferred_suffix,high,東京都訓令甲第4号(1943-07-01),児童健康指導所は衛生課系施設として扱う
ka,小石川児童健康指導所,衛生課,民生局,inferred_suffix,high,東京都訓令甲第4号(1943-07-01),児童健康指導所は衛生課系施設として扱う
ka,神田児童健康指導所,衛生課,民生局,inferred_suffix,high,東京都訓令甲第4号(1943-07-01),児童健康指導所は衛生課系施設として扱う
ka,麻布児童健康指導所,衛生課,民生局,inferred_suffix,high,東京都訓令甲第4号(1943-07-01),児童健康指導所は衛生課系施設として扱う
ka,隅田診療所,衛生課,民生局,inferred_suffix,high,東京都訓令甲第4号(1943-07-01),診療所は衛生課系施設として扱う
ka,白山診療所,衛生課,民生局,inferred_suffix,high,東京都訓令甲第4号(1943-07-01),診療所は衛生課系施設として扱う
ka,五反田診療所,衛生課,民生局,inferred_suffix,high,東京都訓令甲第4号(1943-07-01),診療所は衛生課系施設として扱う
ka,荏原診療所,衛生課,民生局,inferred_suffix,high,東京都訓令甲第4号(1943-07-01),診療所は衛生課系施設として扱う
ka,銀座診療所,衛生課,民生局,inferred_suffix,high,東京都訓令甲第4号(1943-07-01),診療所は衛生課系施設として扱う
ka,三河島診療所,衛生課,民生局,inferred_suffix,high,東京都訓令甲第4号(1943-07-01),診療所は衛生課系施設として扱う
ka,東京都本所防疫所,防疫課,民生局,inferred_suffix,high,東京都訓令甲第4号(1943-07-01),防疫所は防疫課系施設として扱う
ka,東京都荏原防疫所,防疫課,民生局,inferred_suffix,high,東京都訓令甲第4号(1943-07-01),防疫所は防疫課系施設として扱う
ka,立川健康相談所,衛生課,民生局,inferred_suffix,medium,東京都訓令甲第4号(1943-07-01),健康相談所は衛生課系施設として扱う
ka,本郷健康相談所,衛生課,民生局,inferred_suffix,medium,東京都訓令甲第4号(1943-07-01),健康相談所は衛生課系施設として扱う
ka,日暮里健康相談所,衛生課,民生局,inferred_suffix,medium,東京都訓令甲第4号(1943-07-01),健康相談所は衛生課系施設として扱う
ka,共同住宅管理事務所,厚生課,民生局,inferred_function,medium,東京都訓令甲第4号(1943-07-01),住宅管理は厚生課住宅係に近い機能として扱う
ka,厚生課健民課,,民生局,inferred_composite,high,東京都訓令甲第4号(1943-07-01),OCRで同一局内の課名が連結したものとして扱う
ka,振興課厚生課,,民生局,inferred_composite,high,東京都訓令甲第4号(1943-07-01),OCRで同一局内の課名が連結したものとして扱う
ka,用度課考査課,,長官官房,inferred_composite,high,東京都訓令甲第4号(1943-07-01),OCRで同一官房内の課名が連結したものとして扱う
ka,翳生課,衛生課,民生局,inferred_ocr,medium,東京都訓令甲第4号(1943-07-01),衛生課のOCR変形として扱う
ka,清日課,清掃課,民生局,inferred_ocr,medium,東京都訓令甲第4号(1943-07-01),清掃課のOCR変形として扱う
