effective_start,effective_end,ka,kyoku,source_type,source_document,notes
1943-07-01,1944-12-31,人事課,長官官房,documentary,東京都訓令甲第4号(1943-07-01),
1943-07-01,1944-12-31,文書課,長官官房,documentary,東京都訓令甲第4号(1943-07-01),
1943-07-01,1944-12-31,財務課,長官官房,documentary,東京都訓令甲第4号(1943-07-01),
1943-07-01,1944-12-31,会計課,長官官房,documentary,東京都訓令甲第4号(1943-07-01),
1943-07-01,1944-12-31,用度課,長官官房,documentary,東京都訓令甲第4号(1943-07-01),
1943-07-01,1944-12-31,考査課,長官官房,documentary,東京都訓令甲第4号(1943-07-01),
1943-07-31,1944-12-31,参事官室,長官官房,documentary,東京都訓令甲第120号(1943-07-31),1943-07-31新設
1943-07-01,1944-12-31,監理課,民生局,inferred_missing_header,東京都訓令甲第4号(1943-07-01);東京都訓令甲第186号(1943-11-01),訓令本文の見出し欠落を民生局改正条文で補完
1943-07-01,1944-12-31,振興課,民生局,inferred_missing_header,東京都訓令甲第4号(1943-07-01),訓令本文の見出し欠落を制度文脈で補完
1943-07-01,1944-12-31,厚生課,民生局,inferred_missing_header,東京都訓令甲第4号(1943-07-01),訓令本文の見出し欠落を制度文脈で補完
1943-07-01,1944-12-31,健民課,民生局,inferred_missing_header,東京都訓令甲第4号(1943-07-01);東京都訓令甲第186号(1943-11-01),訓令本文の見出し欠落を民生局改正条文で補完
1943-07-01,1944-12-31,衛生課,民生局,inferred_missing_header,東京都訓令甲第4号(1943-07-01),訓令本文の見出し欠落を制度文脈で補完
1943-07-01,1944-12-31,防疫課,民生局,inferred_missing_header,東京都訓令甲第4号(1943-07-01),訓令本文の見出し欠落を制度文脈で補完
1943-07-01,1944-12-31,清掃課,民生局,inferred_missing_header,東京都訓令甲第4号(1943-07-01);東京都訓令甲第186号(1943-11-01);東京都訓令甲第221号(1943-12-23),訓令本文の見出し欠落を民生局改正条文で補完
1943-07-01,1944-12-31,庶務課,教育局,documentary,東京都訓令甲第4号(1943-07-01),
1943-07-01,1944-12-31,教育第一課,教育局,documentary,東京都訓令甲第4号(1943-07-01),
1943-07-01,1944-12-31,教育第二課,教育局,documentary,東京都訓令甲第4号(1943-07-01),
1943-07-01,1944-12-31,学校体育課,教育局,documentary,東京都訓令甲第4号(1943-07-01),
1943-07-01,1944-12-31,総務課,経済局,documentary,東京都訓令甲第4号(1943-07-01),
1943-07-01,1944-12-31,商工課,経済局,documentary,東京都訓令甲第4号(1943-07-01),
1943-07-01,1943-09-03,農林課,経済局,documentary,東京都訓令甲第4号(1943-07-01),1943-09-04改称分割
1943-09-04,1944-12-31,農務課,経済局,documentary,東京都訓令甲第145号(1943-09-04),農林課改称後
1943-09-04,1944-12-31,林務課,経済局,documentary,東京都訓令甲第145号(1943-09-04),1943-09-04新設
1943-07-01,1944-12-31,食料課,経済局,documentary,東京都訓令甲第4号(1943-07-01),
1943-07-01,1943-09-03,用品課,経済局,documentary,東京都訓令甲第4号(1943-07-01),1943-09-04廃止
1943-07-01,1944-12-31,資材課,経済局,documentary,東京都訓令甲第4号(1943-07-01),
1943-07-01,1944-12-31,水産品課,経済局,documentary,東京都訓令甲第75号(1943-07-01),中央卸売市場
1943-07-01,1944-12-31,農産品課,経済局,documentary,東京都訓令甲第75号(1943-07-01),中央卸売市場
1943-07-01,1944-12-31,庶務課,計画局,documentary,東京都訓令甲第4号(1943-07-01),
1943-07-01,1944-12-31,都市計画課,計画局,documentary,東京都訓令甲第4号(1943-07-01),
1943-07-01,1944-12-31,公園緑地課,計画局,documentary,東京都訓令甲第4号(1943-07-01),
1943-07-01,1944-12-31,道路課,計画局,documentary,東京都訓令甲第4号(1943-07-01),
1943-07-01,1944-12-31,河川課,計画局,documentary,東京都訓令甲第4号(1943-07-01),
1943-07-01,1944-12-31,企画課,防衛局,documentary,東京都訓令甲第4号(1943-07-01),
1943-07-01,1944-12-31,設備課,防衛局,documentary,東京都訓令甲第4号(1943-07-01),
1943-07-01,1944-12-31,建築課,防衛局,documentary,東京都訓令甲第4号(1943-07-01),
1943-07-01,1944-12-31,防火改修課,防衛局,documentary,東京都訓令甲第4号(1943-07-01),
1943-07-01,1944-12-31,営繕課,防衛局,documentary,東京都訓令甲第4号(1943-07-01),
1943-07-01,1944-12-31,総務課,交通局,documentary,東京都訓令甲第4号(1943-07-01),
1943-07-01,1944-12-31,経理課,交通局,documentary,東京都訓令甲第4号(1943-07-01),
1943-07-01,1944-12-31,運輸課,交通局,documentary,東京都訓令甲第4号(1943-07-01),
1943-07-01,1944-12-31,車輌課,交通局,documentary,東京都訓令甲第4号(1943-07-01),
1943-07-01,1944-12-31,保線課,交通局,documentary,東京都訓令甲第4号(1943-07-01),
1943-07-01,1944-12-31,電気課,交通局,documentary,東京都訓令甲第4号(1943-07-01),
1943-07-01,1944-12-31,庶務課,水道局,documentary,東京都訓令甲第4号(1943-07-01),
1943-07-01,1944-12-31,業務課,水道局,documentary,東京都訓令甲第4号(1943-07-01),
1943-07-01,1944-12-31,給水課,水道局,documentary,東京都訓令甲第4号(1943-07-01),
1943-07-01,1944-12-31,工事課,水道局,documentary,東京都訓令甲第4号(1943-07-01),
1943-07-01,1944-12-31,下水課,水道局,documentary,東京都訓令甲第4号(1943-07-01),
1943-07-01,1944-12-31,総務課,港湾局,documentary,東京都訓令甲第4号(1943-07-01),
1943-07-01,1944-12-31,経理課,港湾局,documentary,東京都訓令甲第4号(1943-07-01),
1943-07-01,1944-12-31,工事課,港湾局,documentary,東京都訓令甲第4号(1943-07-01),
