year_num,gov_transition,office_id,kyoku,ka,kakari,position,lag_office_id,lag_kyoku_raw,lag_ka,lag_kakari,lag_position
1944,TokyoShi -> TokyoTo,1851,NA,人事課,秘書係,事務官,7484,市会事務局,茅場,NA,書記
1944,TokyoShi -> TokyoTo,1851,NA,人事課,秘書係,雇,8490,水道局,幸場,NA,書記
1944,TokyoShi -> TokyoTo,1851,NA,人事課,秘書係,雇,1555,電気局,会計課,NA,書記
1944,TokyoShi -> TokyoTo,1851,NA,人事課,秘書係,雇,5809,健民局,所,NA,技手
1944,TokyoShi -> TokyoTo,5814,NA,人事課,主事係,主事,2159,戰時生活局,配給第二課,NA,雇
1944,TokyoShi -> TokyoTo,5814,NA,人事課,主事係,Unknown,2125,健民局,軍事援護課,NA,Unknown
1944,TokyoShi -> TokyoTo,5814,NA,人事課,主事係,Unknown,7782,電気局,NA,NA,雇
1944,TokyoShi -> TokyoTo,5814,NA,人事課,主事係,Unknown,2015,後醍院,蒲田区役所,NA,書記
1944,TokyoShi -> TokyoTo,5814,NA,人事課,主事係,雇,8358,NA,NA,NA,雇
1944,TokyoShi -> TokyoTo,8996,NA,NA,NA,事務官,6337,土木局,NA,NA,監視
1944,TokyoShi -> TokyoTo,8996,NA,NA,NA,事務官,1173,NA,人事課,NA,書記
1944,TokyoShi -> TokyoTo,8996,NA,NA,NA,事務官,1173,NA,人事課,NA,書記
1944,TokyoShi -> TokyoTo,8996,NA,NA,NA,主事補,1642,健民局,母子課,NA,藥劑員
1944,TokyoShi -> TokyoTo,8996,NA,NA,NA,主事補,1173,NA,人事課,NA,書記
1944,TokyoShi -> TokyoTo,8996,NA,NA,NA,主事補,1173,NA,人事課,NA,書記
1944,TokyoShi -> TokyoTo,8996,NA,NA,NA,主事補,1173,NA,人事課,NA,書記
1944,TokyoShi -> TokyoTo,8996,NA,NA,NA,主事補,1173,NA,人事課,NA,書記
1944,TokyoShi -> TokyoTo,1848,NA,NA,福利係,係長,7832,電気局,NA,NA,Unknown
1944,TokyoShi -> TokyoTo,1848,NA,NA,福利係,屬,1173,NA,人事課,NA,書記
1944,TokyoShi -> TokyoTo,1848,NA,NA,福利係,屬,1173,NA,人事課,NA,書記
1944,TokyoShi -> TokyoTo,1848,NA,NA,福利係,屬,1853,NA,秘書課,NA,雇
1944,TokyoShi -> TokyoTo,1848,NA,NA,福利係,屬,2071,電気局,調査課,NA,書記
1944,TokyoShi -> TokyoTo,1848,NA,NA,福利係,屬,1173,NA,人事課,NA,書記
1944,TokyoShi -> TokyoTo,1848,NA,NA,福利係,屬,1449,土木局,庶務課,NA,書記
1944,TokyoShi -> TokyoTo,1848,NA,NA,福利係,屬,1173,NA,人事課,NA,書記
1944,TokyoShi -> TokyoTo,1848,NA,NA,福利係,屬,1173,NA,人事課,NA,書記
1944,TokyoShi -> TokyoTo,1848,NA,NA,福利係,屬,1173,NA,人事課,NA,書記
1944,TokyoShi -> TokyoTo,1848,NA,NA,福利係,屬,1173,NA,人事課,NA,書記
1944,TokyoShi -> TokyoTo,1848,NA,NA,福利係,屬,1173,NA,人事課,NA,書記
1944,TokyoShi -> TokyoTo,1848,NA,NA,福利係,屬,1173,NA,人事課,NA,書記
1944,TokyoShi -> TokyoTo,1848,NA,NA,福利係,主事補,1173,NA,人事課,NA,書記
1944,TokyoShi -> TokyoTo,1848,NA,NA,福利係,主事補,1173,NA,人事課,NA,書記
1944,TokyoShi -> TokyoTo,1848,NA,NA,福利係,主事補,1173,NA,人事課,NA,書記
1944,TokyoShi -> TokyoTo,1848,NA,NA,福利係,主事補,1173,NA,人事課,NA,書記
1944,TokyoShi -> TokyoTo,1848,NA,NA,福利係,主事補,1173,NA,人事課,NA,雇
1944,TokyoShi -> TokyoTo,1848,NA,NA,福利係,主事補,8690,経理局,収納課,NA,書記
1944,TokyoShi -> TokyoTo,1848,NA,NA,福利係,主事補,1173,NA,人事課,NA,雇
1944,TokyoShi -> TokyoTo,1848,NA,NA,福利係,主事補,8690,経理局,収納課,NA,技手
1944,TokyoShi -> TokyoTo,5986,NA,NA,福利係,主事補,1173,NA,人事課,NA,雇
1944,TokyoShi -> TokyoTo,5986,NA,NA,福利係,主事補,1173,NA,人事課,NA,書記
1944,TokyoShi -> TokyoTo,5986,NA,NA,福利係,主事補,1173,NA,人事課,NA,雇
1944,TokyoShi -> TokyoTo,5986,NA,NA,福利係,主事補,1173,NA,人事課,NA,雇
1944,TokyoShi -> TokyoTo,5986,NA,NA,福利係,主事補,1173,NA,人事課,NA,雇
1944,TokyoShi -> TokyoTo,5986,NA,NA,福利係,主事補,8996,経理局,NA,NA,雇
1944,TokyoShi -> TokyoTo,5986,NA,NA,福利係,主事,1449,市会事務局,庶務課,NA,囑託員
1944,TokyoShi -> TokyoTo,5986,NA,NA,福利係,主事補,6824,市会事務局,議事課,NA,書記
1944,TokyoShi -> TokyoTo,5986,NA,NA,福利係,主事補,3865,市会事務局,議事課,NA,書記
1944,TokyoShi -> TokyoTo,5986,NA,NA,福利係,主事補,6824,市会事務局,議事課,NA,書記
1944,TokyoShi -> TokyoTo,5986,NA,NA,福利係,主事補,6824,市会事務局,議事課,NA,書記
1944,TokyoShi -> TokyoTo,5986,NA,NA,福利係,主事補,6824,市会事務局,議事課,NA,書記
