side,staff_id,year_num,gov_transition,office_id,kyoku_raw,ka,position
destination,107019,1938,TokyoShi -> TokyoFu,7400,衆議院,経済部資材統制課,兼
destination,99603,1938,TokyoShi -> TokyoFu,7400,衆議院,経済部資材統制課,兼
destination,32586,1938,TokyoShi -> TokyoFu,7400,衆議院,経済部資材統制課,兼
destination,8837,1938,TokyoShi -> TokyoFu,7400,衆議院,経済部資材統制課,所長
destination,103573,1938,TokyoShi -> TokyoFu,7400,衆議院,経済部資材統制課,所長
destination,121569,1938,TokyoShi -> TokyoFu,7400,衆議院,経済部資材統制課,所長
destination,2233,1938,TokyoShi -> TokyoFu,7400,衆議院,経済部資材統制課,兼
destination,21388,1938,TokyoShi -> TokyoFu,7400,衆議院,経済部資材統制課,兼
destination,20578,1938,TokyoShi -> TokyoFu,7400,衆議院,経済部資材統制課,兼
destination,28376,1938,TokyoShi -> TokyoFu,7400,衆議院,経済部資材統制課,兼
destination,11681,1938,TokyoShi -> TokyoFu,7400,衆議院,経済部資材統制課,兼
destination,84357,1938,TokyoShi -> TokyoFu,7400,衆議院,経済部資材統制課,兼
destination,16851,1938,TokyoShi -> TokyoFu,7400,衆議院,経済部資材統制課,兼
destination,61969,1938,TokyoShi -> TokyoFu,6588,衆議院,府立西多摩保健所,所長
destination,51046,1938,TokyoShi -> TokyoFu,6588,衆議院,府立西多摩保健所,所長
destination,49202,1938,TokyoShi -> TokyoFu,6588,衆議院,府立西多摩保健所,所長
destination,52794,1938,TokyoShi -> TokyoFu,6650,衆議院,所,所長
destination,102697,1938,TokyoShi -> TokyoFu,6650,衆議院,所,所長
destination,74081,1938,TokyoShi -> TokyoFu,6650,衆議院,所,所長
destination,121603,1938,TokyoShi -> TokyoFu,6650,衆議院,所,所長
destination,33227,1938,TokyoShi -> TokyoFu,6650,衆議院,所,所長
destination,106582,1938,TokyoShi -> TokyoFu,6650,衆議院,所,所長
destination,34229,1938,TokyoShi -> TokyoFu,6650,衆議院,所,所長
destination,38161,1938,TokyoShi -> TokyoFu,6650,衆議院,所,所長
destination,117664,1938,TokyoShi -> TokyoFu,6650,衆議院,所,所長
origin,32586,1938,TokyoShi -> TokyoFu,8429,告補助局,小室,雇
origin,21388,1938,TokyoShi -> TokyoFu,6687,告補助局,擴張課,兼
origin,84357,1938,TokyoShi -> TokyoFu,6597,告補助局,庶務課,Unknown
origin,101701,1938,TokyoShi -> TokyoFu,1374,九(計会局,大森区役所,主事
origin,84745,1938,TokyoShi -> TokyoFu,6205,告補助局,清掃課,監視
origin,61117,1938,TokyoShi -> TokyoFu,6205,告補助局,清掃課,雇
origin,5201,1938,TokyoShi -> TokyoFu,6205,告補助局,清掃課,臨時
origin,98687,1938,TokyoShi -> TokyoFu,7246,八王子郵便局,秘書課,兼
origin,113309,1938,TokyoShi -> TokyoFu,6205,告補助局,清掃課,監視
origin,111514,1938,TokyoShi -> TokyoFu,7048,告補助局,清掃課,Unknown
origin,36747,1938,TokyoShi -> TokyoFu,8429,告補助局,小室,雇
origin,101067,1938,TokyoShi -> TokyoFu,6205,告補助局,清掃課,監視
origin,95485,1938,TokyoShi -> TokyoFu,7506,告補助局,業務課,Unknown
origin,118095,1938,TokyoShi -> TokyoFu,6597,告補助局,庶務課,書記
origin,31301,1938,TokyoShi -> TokyoFu,8429,告補助局,小室,雇
origin,39492,1938,TokyoShi -> TokyoFu,6205,告補助局,清掃課,雇
origin,61501,1938,TokyoShi -> TokyoFu,6712,八王子郵便局,文書課,書記
origin,100093,1938,TokyoShi -> TokyoFu,7125,告補助局,NA,保健婦
origin,8582,1938,TokyoShi -> TokyoFu,7246,八王子郵便局,秘書課,兼
origin,14642,1938,TokyoShi -> TokyoFu,7760,告補助局,小室,兼
origin,90242,1938,TokyoShi -> TokyoFu,6597,告補助局,庶務課,技手
origin,96144,1938,TokyoShi -> TokyoFu,7048,告補助局,清掃課,兼
origin,106476,1938,TokyoShi -> TokyoFu,6818,告補助局,公園課,雇
origin,36898,1938,TokyoShi -> TokyoFu,8429,告補助局,小室,雇
origin,59846,1938,TokyoShi -> TokyoFu,6597,告補助局,庶務課,技手
