dest_kyoku_group,origin_kyoku_group,n_transfers
assembly,economy,65
infrastructure,education,58
infrastructure,transport,42
economy,transport,37
water,port,27
infrastructure,assembly,24
infrastructure,welfare,20
economy,education,19
economy,infrastructure,17
infrastructure,water,16
assembly,welfare,13
assembly,citizen,12
assembly,infrastructure,11
water,transport,11
water,infrastructure,10
assembly,port,8
economy,water,8
economy,welfare,8
education,transport,8
infrastructure,economy,6
port,transport,6
transport,infrastructure,6
economy,assembly,5
transport,water,5
transport,welfare,5
education,welfare,4
infrastructure,infrastructure,4
water,assembly,4
water,welfare,4
assembly,transport,3
economy,port,3
port,infrastructure,3
port,welfare,3
assembly,finance_admin,2
assembly,water,2
education,assembly,2
education,infrastructure,2
port,assembly,2
transport,assembly,2
transport,economy,2
welfare,transport,2
welfare,water,2
education,port,1
education,water,1
infrastructure,port,1
transport,education,1
water,economy,1
welfare,economy,1
welfare,infrastructure,1
