section_id,office_id,year_num,ka,ka_group,norm_kyoku,kyoku_group,n_drafted_male,transfers_in,transfers_same_section,transfers_same_department,transfers_different_department,new_hires,n_workers,slack_different_department,slack_same_department,slack_same_section,transfer_share,any_slack_same_section,any_slack_same_department,any_slack_different_department,log_slack_same_section,log_slack_same_department,log_slack_different_department,slack_same_section_per_draft,slack_same_department_per_draft,slack_different_department_per_draft,log_slack_same_section_per_draft,log_slack_same_department_per_draft,log_slack_different_department_per_draft,log_section_size
1146_grp_181,1146,1944,経理課,181,交通局,transport,2,14,7,5,0,0,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.332204510175204
1153_grp_740,1153,1944,防火改修課,740,計画局,infrastructure,9,21,0,2,19,0,34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.5553480614894135
1180_grp_12,1180,1944,商工課,12,経済局,economy,6,1,0,0,1,0,30,215,10,0,1,0,1,1,0,2.3978952727983707,5.375278407684165,0,1.6666666666666667,35.833333333333336,0,0.9808292530117263,3.606403232289698,3.4339872044851463
1182_grp_24,1182,1944,企画課,24,計画局,infrastructure,9,21,17,0,2,0,48,217,27,30,1,1,1,1,3.4339872044851463,3.332204510175204,5.384495062789089,3.3333333333333335,3,24.11111111111111,1.4663370687934272,1.3862943611198906,3.2233104219360666,3.8918202981106265
1231_name_missing,1231,1944,NA,NA,交通局,transport,12,28,0,28,0,0,62,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.143134726391533
1237_grp_1426,1237,1944,化学工業指導所,1426,経済局,economy,6,2,0,1,1,0,9,215,10,0,1,0,1,1,0,2.3978952727983707,5.375278407684165,0,1.6666666666666667,35.833333333333336,0,0.9808292530117263,3.606403232289698,2.302585092994046
1238_grp_846,1238,1944,資材課,846,経済局,economy,2,1,0,0,1,0,10,215,10,0,1,0,1,1,0,2.3978952727983707,5.375278407684165,0,5,107.5,0,1.791759469228055,4.686750172980514,2.3978952727983707
1278_grp_11,1278,1943,厚生課,11,健民局,welfare,2,119,46,66,6,22,168,2243,182,46,0.8439716312056738,1,1,1,3.8501476017100584,5.209486152841421,7.716015266642587,23,91,1121.5,3.1780538303479458,4.5217885770490405,7.02331361961641,5.1298987149230735
1306_grp_1322,1306,1944,品川機械工業指導所,1322,経済局,economy,7,5,0,3,2,0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.8903717578961645
1313_grp_627,1313,1941,品川診療所,627,府会事務局,assembly,1,0,0,0,0,0,3,93,2,0,NA,0,1,1,0,1.0986122886681098,4.543294782270004,0,2,93,0,1.0986122886681098,4.543294782270004,1.3862943611198906
