term,estimate,std.error,statistic,p.value,outcome,specification,n
any_slack_same_section,-7.241147334885408,4.187947391741302,-1.7290444835016467,0.0851200138259759,transfers_in,level_slack,257
log_slack_same_section,4.65274428056668,2.0295283666381754,2.292524882652292,0.02276374086401772,transfers_in,level_slack,257
log_slack_same_department,-0.46809370791437943,0.8410560484443855,-0.5565547133037851,0.5783635602613262,transfers_in,level_slack,257
log_slack_different_department,0.7049735239053001,0.48685455600194677,1.4480166924893296,0.1489509009146851,transfers_in,level_slack,257
n_drafted_male,0.2974764878691504,0.10073531501176233,2.9530506539282237,0.003467159072300685,transfers_in,level_slack,257
log_section_size,10.872100986731603,2.0167396280665946,5.390929416681545,1.7097453819492806e-7,transfers_in,level_slack,257
any_slack_same_section,-2.6058714135735563,2.468037363895304,-1.0558476349242578,0.29212670790546863,new_hires,level_slack,257
log_slack_same_section,-0.7474638287401194,1.2933594963146868,-0.5779242591637911,0.5638709720653874,new_hires,level_slack,257
log_slack_same_department,-1.4371961595472786,0.900915829322202,-1.5952613027440572,0.11200349270322815,new_hires,level_slack,257
log_slack_different_department,0.47971564286536494,0.3774390686803408,1.2709750597430702,0.2049995423901098,new_hires,level_slack,257
n_drafted_male,0.2082095850076947,0.14163063085494546,1.4700886647955254,0.14288102064131317,new_hires,level_slack,257
log_section_size,6.293924249371992,2.7297929404716887,2.3056416316632595,0.022006135549443133,new_hires,level_slack,257
any_slack_same_section,0.0614591471779214,0.11895903400201478,0.5166412764992735,0.6059351464816974,transfer_share,level_slack,238
log_slack_same_section,0.03616186897265426,0.0467353903337712,0.7737577179605482,0.43992009850717184,transfer_share,level_slack,238
log_slack_same_department,-0.047645476250294604,0.025755518362437956,-1.8499133109967272,0.06569198450832543,transfer_share,level_slack,238
log_slack_different_department,0.029285502026895727,0.013171733044030373,2.223359821293095,0.027227420282715104,transfer_share,level_slack,238
n_drafted_male,-0.0010307799556350896,0.001657910916046374,-0.6217342232676736,0.5347723012241381,transfer_share,level_slack,238
log_section_size,-0.037298761066589026,0.029018181598122795,-1.2853583171800782,0.2000435372957843,transfer_share,level_slack,238
any_slack_same_section,-2.6361980266371567,2.9172222451384315,-0.9036671892346895,0.3671012505106286,transfers_in,ratio_slack,257
log_slack_same_section_per_draft,4.525202626346251,2.158658029378691,2.0963036130594075,0.037129630078989256,transfers_in,ratio_slack,257
log_slack_same_department_per_draft,-0.5056979316412438,1.1404083632960988,-0.443435832213327,0.6578602393469071,transfers_in,ratio_slack,257
log_slack_different_department_per_draft,0.8262024697789836,0.5136426946228322,1.608515955601518,0.10907054660575197,transfers_in,ratio_slack,257
n_drafted_male,0.3447137844247966,0.08032345949637629,4.291570440144551,2.5984055133491028e-5,transfers_in,ratio_slack,257
log_section_size,11.18116229052582,1.932212928376765,5.786713320420134,2.2912829110952518e-8,transfers_in,ratio_slack,257
any_slack_same_section,-7.515816752511163,2.7744145725786447,-2.7089739315799806,0.007248096886422316,new_hires,ratio_slack,257
log_slack_same_section_per_draft,1.765567214769214,0.9627690823388559,1.8338428675753897,0.0679473352789996,new_hires,ratio_slack,257
log_slack_same_department_per_draft,-0.424355949437087,0.8915625643897503,-0.4759687837808071,0.6345406864521428,new_hires,ratio_slack,257
log_slack_different_department_per_draft,0.13866110689293465,0.3596392952529706,0.38555605219780087,0.7001757525630303,new_hires,ratio_slack,257
n_drafted_male,0.20057578471289506,0.13956614170620713,1.4371378492006743,0.1520146014482908,new_hires,ratio_slack,257
log_section_size,6.251048471971373,2.7082371864286623,2.3081613764467197,0.021863153375976684,new_hires,ratio_slack,257
any_slack_same_section,0.09081758379707003,0.07133407051146348,1.273130541211377,0.20434021606925118,transfer_share,ratio_slack,238
log_slack_same_section_per_draft,0.03978580016554745,0.03981709149299572,0.9992141232251035,0.318809033902548,transfer_share,ratio_slack,238
log_slack_same_department_per_draft,-0.062104949559564145,0.03456152417914189,-1.796938967091182,0.07374231510362475,transfer_share,ratio_slack,238
log_slack_different_department_per_draft,0.032180362315430006,0.014660469125366365,2.1950431490456017,0.02922578971102407,transfer_share,ratio_slack,238
n_drafted_male,-0.0012039875607176948,0.0016315536520502686,-0.7379393004972414,0.4613522828885692,transfer_share,ratio_slack,238
log_section_size,-0.0356113297132466,0.02821270021657968,-1.2622446430107737,0.2082219218299577,transfer_share,ratio_slack,238
