section_id_filled,office_id,year_num,ka,ka_group_filled,norm_kyoku_filled,kyoku_group_filled,n_drafted_male,transfers_in,new_hires,n_workers,slack_different_department,slack_same_department,slack_same_section,transfer_share,any_slack_same_section,log_slack_same_section,log_slack_same_department,log_slack_different_department,log_section_size
1098_name_三河島診療所,1098,1944,三河島診療所,NA,民生局,welfare,1,1,2,8,0,0,0,0.3333333333333333,0,0,0,0,2.1972245773362196
1102_name_下谷児童健康指導所,1102,1944,下谷児童健康指導所,NA,民生局,welfare,2,4,0,11,0,0,0,1,0,0,0,0,2.4849066497880004
1146_grp_181,1146,1944,経理課,181,交通局,transport,2,14,0,27,0,0,0,1,0,0,0,0,3.332204510175204
1153_grp_740,1153,1944,防火改修課,740,計晝局,NA,9,21,0,34,0,0,0,1,0,0,0,0,3.5553480614894135
1172_name_人事課,1172,1944,人事課,NA,長官官房,finance_admin,1,2,0,2,0,0,0,1,0,0,0,0,1.0986122886681098
1180_grp_12,1180,1944,商工課,12,経済局,economy,6,1,0,30,205,10,0,1,0,0,2.3978952727983707,5.327876168789581,3.4339872044851463
1182_grp_24,1182,1944,企画課,24,計晝局,NA,9,21,0,48,0,0,30,1,1,3.4339872044851463,0,0,3.8918202981106265
1188_name_missing,1188,1944,NA,NA,民生局,welfare,19,28,0,53,67,1,0,1,0,0,0.6931471805599453,4.219507705176107,3.9889840465642745
1189_name_missing,1189,1944,NA,NA,民生局,welfare,1,10,0,12,0,0,0,1,0,0,0,0,2.5649493574615367
1198_name_王子小児保健所,1198,1944,王子小児保健所,NA,民生局,welfare,1,13,0,38,0,0,0,1,0,0,0,0,3.6635616461296463
1215_name_共同住宅管理事務所,1215,1944,共同住宅管理事務所,NA,民生局,welfare,1,1,0,5,0,0,0,1,0,0,0,0,1.791759469228055
1231_name_missing,1231,1944,NA,NA,交通局,transport,12,28,0,62,0,0,0,1,0,0,0,0,4.143134726391533
1237_grp_1426,1237,1944,化学工業指導所,1426,経済局,economy,6,2,0,9,205,10,0,1,0,0,2.3978952727983707,5.327876168789581,2.302585092994046
1238_grp_846,1238,1944,資材課,846,経済局,economy,2,1,0,10,205,10,0,1,0,0,2.3978952727983707,5.327876168789581,2.3978952727983707
