staff_id,office_id,year_num,ka,position,recovered_kyoku,recovery_method,ref_candidate_count
109400,1851,1944,人事課,事務官,長官官房,unique_ka_reference,1
119557,1851,1944,人事課,雇,長官官房,unique_ka_reference,1
95635,1851,1944,人事課,雇,長官官房,unique_ka_reference,1
113662,1851,1944,人事課,雇,長官官房,unique_ka_reference,1
35504,5814,1944,人事課,主事,長官官房,unique_ka_reference,1
77541,5814,1944,人事課,Unknown,長官官房,unique_ka_reference,1
35289,5814,1944,人事課,Unknown,長官官房,unique_ka_reference,1
28463,5814,1944,人事課,Unknown,長官官房,unique_ka_reference,1
10695,5814,1944,人事課,雇,長官官房,unique_ka_reference,1
23481,3734,1944,文書課,係長,長官官房,unique_ka_reference,1
98317,3734,1944,文書課,事務官,長官官房,unique_ka_reference,1
20608,3734,1944,文書課,事務官,長官官房,unique_ka_reference,1
27377,3734,1944,文書課,事務官,長官官房,unique_ka_reference,1
59047,3734,1944,文書課,主事補,長官官房,unique_ka_reference,1
54782,3734,1944,文書課,主事補,長官官房,unique_ka_reference,1
22531,3734,1944,文書課,主事補,長官官房,unique_ka_reference,1
17617,1514,1944,文書課,事務官,長官官房,unique_ka_reference,1
45334,1514,1944,文書課,屬,長官官房,unique_ka_reference,1
41379,1514,1944,文書課,屬,長官官房,unique_ka_reference,1
86032,6712,1944,文書課,主事補,長官官房,unique_ka_reference,1
25073,6712,1944,文書課,主事補,長官官房,unique_ka_reference,1
85533,6712,1944,文書課,主事補,長官官房,unique_ka_reference,1
18365,6712,1944,文書課,主事補,長官官房,unique_ka_reference,1
58494,1908,1944,文書課,係長,長官官房,unique_ka_reference,1
16883,1908,1944,文書課,係長,長官官房,unique_ka_reference,1
5061,6712,1944,文書課,係長,長官官房,unique_ka_reference,1
11814,6712,1944,文書課,係長,長官官房,unique_ka_reference,1
70334,6712,1944,文書課,係長,長官官房,unique_ka_reference,1
33343,6712,1944,文書課,係長,長官官房,unique_ka_reference,1
95852,6712,1944,文書課,係長,長官官房,unique_ka_reference,1
33870,6712,1944,文書課,係長,長官官房,unique_ka_reference,1
93842,6712,1944,文書課,技手,長官官房,unique_ka_reference,1
98300,8330,1944,文書課,主事補,長官官房,unique_ka_reference,1
66941,8330,1944,文書課,主事補,長官官房,unique_ka_reference,1
45042,8330,1944,文書課,主事補,長官官房,unique_ka_reference,1
108804,8330,1944,文書課,主事補,長官官房,unique_ka_reference,1
70101,8330,1944,文書課,主事補,長官官房,unique_ka_reference,1
84719,8330,1944,文書課,主事補,長官官房,unique_ka_reference,1
5823,8330,1944,文書課,主事補,長官官房,unique_ka_reference,1
51618,8330,1944,文書課,主事補,長官官房,unique_ka_reference,1
70055,8330,1944,文書課,主事補,長官官房,unique_ka_reference,1
19539,8330,1944,文書課,主事補,長官官房,unique_ka_reference,1
77795,8330,1944,文書課,主事補,長官官房,unique_ka_reference,1
73960,8330,1944,文書課,主事補,長官官房,unique_ka_reference,1
31486,8330,1944,文書課,主事補,長官官房,unique_ka_reference,1
32346,8330,1944,文書課,主事補,長官官房,unique_ka_reference,1
79310,8330,1944,文書課,主事補,長官官房,unique_ka_reference,1
29296,8330,1944,文書課,主事補,長官官房,unique_ka_reference,1
89150,8330,1944,文書課,主事補,長官官房,unique_ka_reference,1
42310,8330,1944,文書課,主事補,長官官房,unique_ka_reference,1
