ka,suffix_group,n_rows
熱海第二健民修錬所,training_center,34
船舶作業所,workshop_office,32
会計課,composite_or_ka_like,26
王子小児保健所,health_center,14
荒川区出張所,branch_office,14
深川作業場,workshop_site,13
隅田診療所,clinic,12
葛飾児童健康指導所,health_guidance_center,10
厚生課健民課,composite_or_ka_like,9
コンクリート工場,factory,8
東京都本所防疫所,quarantine_office,7
白山診療所,clinic,7
東京都荏原防疫所,quarantine_office,5
下谷児童健康指導所,health_guidance_center,4
中央裁斷場,other,4
深川児童健康指導所,health_guidance_center,4
清日課,composite_or_ka_like,4
振興課厚生課,composite_or_ka_like,3
月月月雇主所,other,3
立川健康相談所,other,3
五反田診療所,clinic,2
小石川児童健康指導所,health_guidance_center,2
日本橋小児保健所,health_center,2
本郷健康相談所,other,2
用度課考査課,composite_or_ka_like,2
翳生課,composite_or_ka_like,2
荏原診療所,clinic,2
銀座診療所,clinic,2
麻布児童健康指導所,health_guidance_center,2
三河島診療所,clinic,1
五技所,other,1
共同住宅管理事務所,housing_unit,1
日暮里健康相談所,other,1
神田児童健康指導所,health_guidance_center,1
