term,estimate,std.error,statistic,p.value,outcome,specification,n
any_slack_same_section,-8.610266797987068,4.313376541552986,-1.9961778701766275,0.04821720346903548,transfers_in,level_slack_1944_messy,136
log_slack_same_section,6.709910818096882,1.982946238792697,3.38380874217859,9.708828218412801e-4,transfers_in,level_slack_1944_messy,136
log_slack_same_department,2.396602281015244,1.0484664010457756,2.2858169595370845,0.02404967573505747,transfers_in,level_slack_1944_messy,136
log_slack_different_department,-1.3669698025057697,0.6797016727973534,-2.01113202631961,0.04659066658020456,transfers_in,level_slack_1944_messy,136
n_drafted_male,0.4473285375079301,0.06781335765603792,6.596466433307497,1.2510895839602863e-9,transfers_in,level_slack_1944_messy,136
log_section_size,7.1430796846744276,1.1438048776968772,6.245015932313094,6.91950119094847e-9,transfers_in,level_slack_1944_messy,136
any_slack_same_section,-1.0634784670886912,3.9834599984930983,-0.26697355251238725,0.7899555391914552,new_hires,level_slack_1944_messy,136
log_slack_same_section,-4.037925116963005,2.144682053556944,-1.8827616477072333,0.06219514793327959,new_hires,level_slack_1944_messy,136
log_slack_same_department,-1.219155801856924,2.1915800272754775,-0.5562907978188462,0.5790654663078421,new_hires,level_slack_1944_messy,136
log_slack_different_department,0.7864984984066926,1.5885870457892348,0.4950931083640732,0.6214550545733775,new_hires,level_slack_1944_messy,136
n_drafted_male,0.3056181224213333,0.10378724167173047,2.94465983967447,0.003895147428446267,new_hires,level_slack_1944_messy,136
log_section_size,3.484183378478127,2.2879351510819754,1.5228505829067926,0.13047156010362884,new_hires,level_slack_1944_messy,136
any_slack_same_section,0.10228114040500465,0.07836262283806328,1.3052286498420185,0.19442047029887058,transfer_share,level_slack_1944_messy,132
log_slack_same_section,0.03936377242376306,0.02565389817263267,1.534416803203653,0.1276737858563318,transfer_share,level_slack_1944_messy,132
log_slack_same_department,-0.001120380045356073,0.03263946024798035,-0.03432593666818984,0.9726767515449332,transfer_share,level_slack_1944_messy,132
log_slack_different_department,-0.00993347188071347,0.022608107812587937,-0.4393765264682003,0.6612132470252153,transfer_share,level_slack_1944_messy,132
n_drafted_male,-0.0012637330219423975,0.0015142969176233098,-0.8345345006221286,0.40571010865039137,transfer_share,level_slack_1944_messy,132
log_section_size,-0.009432056435454615,0.03754387896700256,-0.2512275421446058,0.8020865493872023,transfer_share,level_slack_1944_messy,132
any_slack_same_section,1.8908709361492306,3.291290410341317,0.5745074728769198,0.5667180929678632,transfers_in,ratio_slack_1944_messy,136
log_slack_same_section_per_draft,4.930803242341881,2.969283079365309,1.6606039608038488,0.09944801562486634,transfers_in,ratio_slack_1944_messy,136
log_slack_same_department_per_draft,1.645018499388628,1.5452515202463226,1.0645635858209037,0.28924702376424904,transfers_in,ratio_slack_1944_messy,136
log_slack_different_department_per_draft,-0.8387769201542972,0.8708092084372765,-0.9632154920129251,0.33740916135335153,transfers_in,ratio_slack_1944_messy,136
n_drafted_male,0.4910888669919542,0.0667797931330574,7.353854271657737,2.766458320398842e-11,transfers_in,ratio_slack_1944_messy,136
log_section_size,7.417899567775969,1.1555866754537645,6.419163291981694,2.9802283517692207e-9,transfers_in,ratio_slack_1944_messy,136
any_slack_same_section,-10.590031045702261,4.241606035595013,-2.4967031253803587,0.013915098275615453,new_hires,ratio_slack_1944_messy,136
log_slack_same_section_per_draft,2.1948054508075185,1.9898503866667239,1.1030002383667261,0.27227149149888563,new_hires,ratio_slack_1944_messy,136
log_slack_same_department_per_draft,1.6091294139319356,1.98488494967915,0.8106915285906349,0.41917489370988115,new_hires,ratio_slack_1944_messy,136
log_slack_different_department_per_draft,-0.8381190958836131,1.2372496687692267,-0.6774049870769778,0.49947501388362214,new_hires,ratio_slack_1944_messy,136
n_drafted_male,0.3205689142102584,0.10392759526946288,3.0845408611552028,0.0025396233661356135,new_hires,ratio_slack_1944_messy,136
log_section_size,3.242001998661717,2.249043004185589,1.4415028937322134,0.1520912763824891,new_hires,ratio_slack_1944_messy,136
any_slack_same_section,0.16169003363799586,0.07588553756236871,2.1307094715525507,0.03524334002770279,transfer_share,ratio_slack_1944_messy,132
log_slack_same_section_per_draft,0.02377820017316107,0.03557691595247216,0.66836035492584,0.505242890396155,transfer_share,ratio_slack_1944_messy,132
log_slack_same_department_per_draft,-0.024304422643374568,0.050133730756184415,-0.4847918213303209,0.6287461654433109,transfer_share,ratio_slack_1944_messy,132
log_slack_different_department_per_draft,-0.0025902643153898042,0.029019955202967775,-0.08925803976171909,0.9290321025968035,transfer_share,ratio_slack_1944_messy,132
n_drafted_male,-0.0017399184786037012,0.001475316137762149,-1.1793529766731334,0.24069176663812314,transfer_share,ratio_slack_1944_messy,132
log_section_size,-0.00880977372922902,0.036632387799852284,-0.24049138640273254,0.8103775367534819,transfer_share,ratio_slack_1944_messy,132
