lag_ka,diagnosis,ref_exact_n,ref_norm_n,global_known_kyoku_n,global_known_kyoku_values,n_rows
東京市役所,no_ref_or_observed_match,NA,NA,NA,NA,24
都市計晝課,no_ref_or_observed_match,NA,NA,NA,NA,24
区政課,no_ref_or_observed_match,NA,NA,NA,NA,9
統計課,no_ref_or_observed_match,NA,NA,NA,NA,7
C番議室,no_ref_or_observed_match,NA,NA,NA,NA,4
議案課,no_ref_or_observed_match,NA,NA,NA,NA,3
秘書課,no_ref_or_observed_match,NA,NA,NA,NA,2
豫算課,no_ref_or_observed_match,NA,NA,NA,NA,2
報道課,no_ref_or_observed_match,NA,NA,NA,NA,1
検査課,no_ref_or_observed_match,NA,NA,NA,NA,1
