staff_id,lag_office_id,origin_year,lag_ka,lag_position,recovered_kyoku,recovery_method,ref_candidate_count
57496,1173,1943,人事課,書記,長官官房,unique_ka_reference,1
80270,1173,1943,人事課,書記,長官官房,unique_ka_reference,1
105401,1173,1943,人事課,書記,長官官房,unique_ka_reference,1
114610,1173,1943,人事課,書記,長官官房,unique_ka_reference,1
90667,1173,1943,人事課,書記,長官官房,unique_ka_reference,1
65842,1173,1943,人事課,書記,長官官房,unique_ka_reference,1
16008,1173,1943,人事課,書記,長官官房,unique_ka_reference,1
28307,1173,1943,人事課,書記,長官官房,unique_ka_reference,1
53132,1173,1943,人事課,書記,長官官房,unique_ka_reference,1
45180,1173,1943,人事課,書記,長官官房,unique_ka_reference,1
85916,1173,1943,人事課,書記,長官官房,unique_ka_reference,1
20089,1173,1943,人事課,書記,長官官房,unique_ka_reference,1
69636,1173,1943,人事課,書記,長官官房,unique_ka_reference,1
103944,1173,1943,人事課,書記,長官官房,unique_ka_reference,1
49197,1173,1943,人事課,書記,長官官房,unique_ka_reference,1
74587,1173,1943,人事課,書記,長官官房,unique_ka_reference,1
1678,1173,1943,人事課,書記,長官官房,unique_ka_reference,1
92598,1173,1943,人事課,書記,長官官房,unique_ka_reference,1
11849,1173,1943,人事課,書記,長官官房,unique_ka_reference,1
34731,1173,1943,人事課,雇,長官官房,unique_ka_reference,1
30880,1173,1943,人事課,雇,長官官房,unique_ka_reference,1
30886,1173,1943,人事課,雇,長官官房,unique_ka_reference,1
89984,1173,1943,人事課,書記,長官官房,unique_ka_reference,1
55331,1173,1943,人事課,雇,長官官房,unique_ka_reference,1
86229,1173,1943,人事課,雇,長官官房,unique_ka_reference,1
69145,1173,1943,人事課,雇,長官官房,unique_ka_reference,1
85313,1515,1943,文書課,雇,長官官房,unique_ka_reference,1
19433,7168,1943,考査課,書記,長官官房,unique_ka_reference,1
94600,1515,1943,文書課,書記,長官官房,unique_ka_reference,1
30579,1515,1943,文書課,書記,長官官房,unique_ka_reference,1
66355,1515,1943,文書課,書記,長官官房,unique_ka_reference,1
54319,1515,1943,文書課,書記,長官官房,unique_ka_reference,1
51410,1173,1943,人事課,Unknown,長官官房,unique_ka_reference,1
51046,1173,1943,人事課,Unknown,長官官房,unique_ka_reference,1
8582,1940,1943,考査課,Unknown,長官官房,unique_ka_reference,1
11438,7168,1943,考査課,書記,長官官房,unique_ka_reference,1
100817,1173,1943,人事課,書記,長官官房,unique_ka_reference,1
12663,7168,1943,考査課,書記,長官官房,unique_ka_reference,1
98687,1940,1943,考査課,Unknown,長官官房,unique_ka_reference,1
102668,1173,1943,人事課,書記,長官官房,unique_ka_reference,1
