event_id,n_candidates,chosen_distance
evt_1004,7,different_department
evt_1005,7,different_department
evt_1006,7,different_department
evt_1007,7,different_department
evt_1008,7,different_department
evt_1009,7,different_department
evt_1010,7,different_department
evt_1011,7,different_department
evt_1012,7,different_department
evt_1013,7,different_department
evt_1014,7,different_department
evt_1016,7,different_department
evt_1017,7,different_department
evt_1018,7,different_department
evt_1022,76,different_department
evt_1023,76,different_department
evt_1024,76,different_department
evt_1025,76,different_department
evt_1026,76,different_department
evt_1027,76,different_department
evt_1042,7,different_department
evt_1044,7,different_department
evt_1045,7,different_department
evt_1046,7,different_department
evt_1062,7,different_department
evt_1063,7,different_department
evt_1098,7,different_department
evt_1099,7,different_department
evt_11,76,different_department
evt_1100,53,different_department
evt_1105,7,different_department
evt_1109,7,different_department
evt_1113,7,different_department
evt_1114,7,different_department
evt_1115,7,different_department
evt_1127,7,different_department
evt_113,14,different_department
evt_1136,7,different_department
evt_116,14,different_department
evt_118,14,different_department
evt_1200,53,same_department
evt_1203,76,different_department
evt_1204,76,different_department
evt_1205,76,same_department
evt_1206,76,different_department
evt_1207,76,different_department
evt_1220,53,same_department
evt_1221,53,same_department
evt_1229,76,same_section
evt_1230,76,same_section
evt_1245,76,same_department
evt_1246,76,same_department
evt_1281,76,same_department
evt_1282,76,same_department
evt_1283,76,same_department
evt_1284,76,different_department
evt_1285,76,same_department
evt_1287,76,same_department
evt_1299,53,same_department
evt_1300,53,same_department
evt_1302,53,same_department
evt_1303,53,same_department
evt_1326,76,same_section
evt_1350,76,different_department
evt_1411,53,same_section
evt_1428,53,same_section
evt_1429,52,different_department
evt_1430,52,different_department
evt_1431,52,different_department
evt_1459,11,different_department
evt_1460,53,different_department
evt_1473,2,same_section
evt_1475,2,same_section
evt_15,53,different_department
evt_1514,2,same_section
evt_1590,2,same_section
evt_1591,2,same_section
evt_1767,3,same_section
evt_1769,3,same_section
evt_1771,3,same_section
evt_1774,3,same_section
evt_1793,2,same_section
evt_1797,2,same_section
evt_1798,2,same_section
evt_1799,2,same_section
evt_1801,2,same_section
evt_1802,2,same_section
evt_1803,2,same_section
evt_1804,2,same_section
evt_1805,2,same_section
evt_1807,2,same_section
evt_1808,2,same_section
evt_1809,2,same_section
evt_1811,2,same_section
evt_1822,3,same_section
evt_1823,3,same_section
evt_1825,3,same_section
evt_1826,3,same_section
evt_1837,2,same_section
evt_1838,2,same_section
evt_1842,3,same_section
evt_1843,3,same_section
evt_1844,3,same_section
evt_1878,2,same_section
evt_1886,3,same_section
evt_213,76,different_department
evt_214,76,different_department
evt_2149,53,same_department
evt_2150,53,same_department
evt_2151,53,same_department
evt_2152,53,same_department
evt_2153,53,same_department
evt_2154,53,different_department
evt_2155,53,same_department
evt_2156,53,same_department
evt_2157,53,same_department
evt_2158,53,same_department
evt_2159,53,same_department
evt_2160,53,same_department
evt_2161,53,same_department
evt_2162,53,same_department
evt_2197,76,same_department
evt_2198,76,same_department
evt_2199,76,same_department
evt_2200,76,same_department
evt_2237,76,same_section
evt_2238,76,same_department
evt_2239,76,same_department
evt_2240,76,same_section
evt_2241,76,same_section
evt_2242,76,same_section
evt_2267,53,same_section
evt_2268,53,same_section
evt_2269,53,same_section
evt_2270,53,same_section
evt_2271,53,same_section
evt_2272,53,same_section
evt_2273,53,same_section
evt_2274,53,same_section
evt_2275,53,same_section
evt_2276,53,same_section
evt_2277,53,same_section
evt_2292,76,different_department
evt_2293,76,same_department
evt_2294,76,different_department
evt_2295,76,same_department
evt_2297,76,same_department
evt_2298,76,same_department
evt_2300,76,same_department
evt_2301,76,same_department
evt_2302,76,same_department
evt_2303,76,same_department
evt_2355,53,same_department
evt_2356,53,same_department
evt_2357,53,same_department
evt_2358,53,same_section
evt_2359,53,same_section
evt_2368,3,same_department
evt_2378,76,same_department
evt_2398,76,same_department
evt_2406,76,same_department
evt_2407,76,same_department
evt_2408,76,same_department
evt_2436,53,same_department
evt_2448,76,same_department
evt_2449,76,same_department
evt_2450,76,same_department
evt_2451,76,same_department
evt_257,76,different_department
evt_2573,76,different_department
evt_2574,76,different_department
evt_2575,76,different_department
evt_2578,76,different_department
evt_2579,76,different_department
evt_2581,76,different_department
evt_2586,53,different_department
evt_2587,53,same_department
evt_2589,53,different_department
evt_2590,53,different_department
evt_2591,53,different_department
evt_2592,53,different_department
