term,estimate,std.error,statistic,p.value,specification,variant,n_events,n_rows
same_section,4.862391904594692,0.5353939133502783,9.08189612049904,1.0669958023673918e-19,all,exact_pos,72,3439
same_department,1.961299030193049,0.2570672016873327,7.629518730197834,2.3563169702662207e-14,all,exact_pos,72,3439
log_origin_matched_workers,0.9786790352371781,0.16157946560108893,6.056951801371612,1.387251324336523e-9,all,exact_pos,72,3439
log_origin_prior_hiring,0.25716752502392654,0.11593831703045557,2.218140918471085,0.026545225610316057,all,exact_pos,72,3439
log_prewar_flow_count,-19.168476118585883,4015.5406006997005,-0.00477357298174144,0.9961912542829892,all,exact_pos,72,3439
same_department,1.8308787874330144,0.2771095260261941,6.6070582765168036,3.920317490820121e-11,no_same_section_feasible,exact_pos,50,2701
log_origin_matched_workers,0.9787864741669816,0.1762168829373918,5.55444210481657,2.7849979733563697e-8,no_same_section_feasible,exact_pos,50,2701
log_origin_prior_hiring,0.2542119461560663,0.13077850187189616,1.9438358944123642,0.05191524374058864,no_same_section_feasible,exact_pos,50,2701
log_prewar_flow_count,-18.868140376519104,4153.923574163038,-0.004542245431253701,0.9963758249613556,no_same_section_feasible,exact_pos,50,2701
same_section,5.506630584265717,0.8355891255779265,6.590117577771387,4.394783951901552e-11,same_section_feasible,exact_pos,22,738
same_department,2.9735912508616775,0.837727719189397,3.549591571040513,3.8582925065932963e-4,same_section_feasible,exact_pos,22,738
log_origin_matched_workers,0.9676281325195775,0.4143791215088631,2.3351276217686587,0.019536754749732276,same_section_feasible,exact_pos,22,738
log_origin_prior_hiring,0.2475581645328847,0.25431196498878517,0.9734428521434362,0.3303332499348075,same_section_feasible,exact_pos,22,738
log_prewar_flow_count,-19.166559105858223,11485.661382702294,-0.0016687379565902545,0.9986685403663605,same_section_feasible,exact_pos,22,738
same_section,3.811014535522348,0.23793594643417706,16.01697680672488,9.726568076177501e-58,all,occ_rank,290,25226
same_department,1.6882830878984112,0.11173017405178184,15.110359419255616,1.3838287686770785e-51,all,occ_rank,290,25226
log_origin_matched_workers,0.6954452607701005,0.05232813117305867,13.290084036636742,2.6428123519135304e-40,all,occ_rank,290,25226
log_origin_prior_hiring,0.2923780947855315,0.05162585446315884,5.66340446711982,1.4839880533750206e-8,all,occ_rank,290,25226
log_prewar_flow_count,0.049207161046206385,0.24350828669809052,0.20207591993456478,0.8398573726287941,all,occ_rank,290,25226
same_department,1.6825075261038953,0.12824624728826897,13.119350949287378,2.5511044283963408e-39,no_same_section_feasible,occ_rank,207,19832
log_origin_matched_workers,0.7834407720779488,0.06095171036027206,12.853466579480772,8.224053420896995e-38,no_same_section_feasible,occ_rank,207,19832
log_origin_prior_hiring,0.28949736350974586,0.06079144864743752,4.7621395763851195,1.9155111516843425e-6,no_same_section_feasible,occ_rank,207,19832
log_prewar_flow_count,0.16626463013491347,0.26709544391166246,0.6224914498725138,0.533618764184331,no_same_section_feasible,occ_rank,207,19832
same_section,3.901563772285143,0.26369868123450996,14.795537672088098,1.5652850916690494e-49,same_section_feasible,occ_rank,83,5394
same_department,1.729418685783576,0.22786134079210027,7.589785436053808,3.204356529046209e-14,same_section_feasible,occ_rank,83,5394
log_origin_matched_workers,0.4390301494776249,0.10333242786734653,4.248716095601972,2.1499918764180467e-5,same_section_feasible,occ_rank,83,5394
log_origin_prior_hiring,0.30659960489867905,0.09768536499357484,3.138644206517991,0.0016973139656973086,same_section_feasible,occ_rank,83,5394
log_prewar_flow_count,-0.17210325709676544,0.49668467384034004,-0.3465040621569255,0.7289639319232922,same_section_feasible,occ_rank,83,5394
