staff_id,gov_level,office,kyoku,ka,kakari,position,salary,salary_num
60984,TokyoTo,○秘書係,NA,人事課,秘書係,事務官,四,NA
122006,TokyoTo,○秘書係,NA,人事課,秘書係,事務官,五,NA
43862,TokyoTo,○秘書係,NA,人事課,秘書係,事務官,月七〇,NA
115085,TokyoTo,○秘書係,NA,人事課,秘書係,事務官,八,NA
109400,TokyoTo,○秘書係,NA,人事課,秘書係,事務官,八,NA
107538,TokyoTo,○秘書係,NA,人事課,秘書係,事務官,八,NA
36298,TokyoTo,○秘書係,NA,人事課,秘書係,事務官,九,NA
70479,TokyoTo,○秘書係,NA,人事課,秘書係,主事補,月一三五,NA
69685,TokyoTo,○秘書係,NA,人事課,秘書係,主事補,月八〇,NA
107283,TokyoTo,○秘書係,NA,人事課,秘書係,主事補,月一〇〇,NA
65660,TokyoTo,○秘書係,NA,人事課,秘書係,主事補,月六〇,NA
32843,TokyoTo,○秘書係,NA,人事課,秘書係,雇,月五一,NA
85396,TokyoTo,○秘書係,NA,人事課,秘書係,雇,月四五,NA
101925,TokyoTo,○秘書係,NA,人事課,秘書係,雇,月四五,NA
113141,TokyoTo,○秘書係,NA,人事課,秘書係,雇,月四五,NA
83711,TokyoTo,○秘書係,NA,人事課,秘書係,雇,月四〇,NA
21495,TokyoTo,○秘書係,NA,人事課,秘書係,雇,月四〇,NA
54056,TokyoTo,主事係,NA,人事課,主事係,Unknown,六,NA
28463,TokyoTo,主事係,NA,人事課,主事係,Unknown,六,NA
35206,TokyoTo,主事係,NA,人事課,主事係,Unknown,月七〇,NA
73437,TokyoTo,主事係,NA,人事課,主事係,Unknown,六,NA
68224,TokyoTo,主事係,NA,人事課,主事係,Unknown,月七〇,NA
110275,TokyoTo,主事係,NA,人事課,主事係,Unknown,月六〇,NA
93689,TokyoTo,主事係,NA,人事課,主事係,雇,月六七,NA
32766,TokyoTo,主事係,NA,人事課,主事係,雇,月六三,NA
