year_num,gov_level,n_workers,share_raw_salary_present,share_parsed_salary_present
1928,TokyoShi,4800,0.13666666666666666,0
1929,TokyoShi,6607,0.2562433782352051,0
1930,TokyoShi,5875,0.23148936170212767,0
1931,TokyoFu,4734,0.2737642585551331,0
1931,TokyoShi,5801,0.21151525599034648,0
1932,TokyoShi,6092,0.20091923834537098,0
1933,TokyoShi,9179,5.447216472382612e-4,0
1934,TokyoShi,9683,0.19384488278426107,0
1935,TokyoShi,10314,0.20680628272251309,0
1936,TokyoFu,7261,0.3006472937611899,0
1936,TokyoShi,10074,0.193964661504864,0
1937,TokyoShi,17619,0.12571655599069187,0
1938,TokyoFu,10600,9.433962264150943e-5,0
1938,TokyoShi,14785,0.13216097396009469,0
1939,TokyoFu,9513,0.2706822243246084,0
1939,TokyoShi,14161,0.16517195113339453,0
1940,TokyoFu,10511,9.513842641042717e-5,0
1940,TokyoShi,14162,0.16565456856376218,0
1941,TokyoFu,10506,9.518370454978108e-5,0
1941,TokyoShi,16438,0.16212434602749726,0
1942,TokyoShi,18461,0.14712095769459943,0
1943,TokyoShi,19339,0.1385283623765448,0
1944,TokyoTo,9323,0.49951732275018773,0
1946,TokyoTo,1302,0,0
1948,TokyoTo,3432,2.913752913752914e-4,0
1950,TokyoTo,10767,0,0
1951,TokyoTo,8848,1.1301989150090416e-4,0
1952,TokyoTo,8821,2.2673166307674868e-4,0
1953,TokyoTo,14104,7.090187180941577e-5,0
1954,TokyoTo,1278,0,0
1955,TokyoTo,8402,1.1901928112354201e-4,0
1958,TokyoTo,18466,5.415357955160836e-5,0
