event_origin_id,event_id,origin_office_id,chosen_distance,n_candidates,n_selected,n_exact_pos,salary_candidate_share,any_selected_with_salary,all_candidates_with_salary,usable,usable_salary,drop_reason,drop_reason_salary
evt_103||1490,evt_103,1490,same_section,6,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_103||7029,evt_103,7029,different_department,2,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_104||1130,evt_104,1130,same_department,15,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_104||7525,evt_104,7525,different_department,18,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_105||1490,evt_105,1490,same_section,6,2,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_105||2183,evt_105,2183,different_department,83,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_105||7819,evt_105,7819,different_department,3,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_108||2071,evt_108,2071,same_department,44,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_109||2071,evt_109,2071,same_department,44,1,1,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_113||1531,evt_113,1531,same_section,3,1,2,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_114||1449,evt_114,1449,same_section,115,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_114||8905,evt_114,8905,same_section,69,4,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_121||1449,evt_121,1449,same_section,115,2,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_121||8905,evt_121,8905,same_section,69,0,0,0,FALSE,FALSE,FALSE,FALSE,selected_worker_not_in_candidates,selected_worker_not_in_candidates
evt_123||6184,evt_123,6184,different_department,2,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_124||1752,evt_124,1752,different_department,21,0,0,0,FALSE,FALSE,FALSE,FALSE,selected_worker_not_in_candidates,selected_worker_not_in_candidates
evt_131||1193,evt_131,1193,same_department,23,1,7,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_131||1555,evt_131,1555,same_section,37,3,3,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_131||1919,evt_131,1919,same_section,15,1,2,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_131||2071,evt_131,2071,same_department,44,1,8,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_131||8690,evt_131,8690,different_department,19,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_135||1449,evt_135,1449,same_department,115,2,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_136||1716,evt_136,1716,same_department,15,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_137||1449,evt_137,1449,different_department,115,0,0,0,FALSE,FALSE,FALSE,FALSE,selected_worker_not_in_candidates,selected_worker_not_in_candidates
evt_137||1555,evt_137,1555,same_section,37,2,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_137||8490,evt_137,8490,same_department,46,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_13||8358,evt_13,8358,same_department,61,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_146||1896,evt_146,1896,same_department,28,0,0,0,FALSE,FALSE,FALSE,FALSE,selected_worker_not_in_candidates,selected_worker_not_in_candidates
