term,estimate,std.error,statistic,p.value,specification,sample,n_event_origins,n_rows
female,20.28686700444216,32342.25730003596,6.272557544837665e-4,0.9994995223506414,full,occ_rank_worker_pool_salary_from_choice,7,20
own_tenure,0.2561456003239222,0.21348763124638748,1.1998147097725904,0.23021131000043688,full,occ_rank_worker_pool_salary_from_choice,7,20
lag_pos_rank,37.87083535042808,51589.69078831368,7.340775796820001e-4,0.9994142908853437,full,occ_rank_worker_pool_salary_from_choice,7,20
lag_court_rank_ext,NA,0,NA,NA,full,occ_rank_worker_pool_salary_from_choice,7,20
exact_pos_match,NA,0,NA,NA,full,occ_rank_worker_pool_salary_from_choice,7,20
lag_posrank_x_dest_rank,NA,0,NA,NA,full,occ_rank_worker_pool_salary_from_choice,7,20
log_salary,0.05536175031656447,0.3931311169180492,0.1408226109155969,0.8880100801373618,full,occ_rank_worker_pool_salary_from_choice,7,20
female,-371.8335916907136,41624.15381093859,-0.008933120739934367,0.9928724956785197,same_section_origin,occ_rank_worker_pool_salary_from_choice,1,4
own_tenure,42.453168491628254,1.4142135607405915,30.01892335793789,5.558024087286801e-198,same_section_origin,occ_rank_worker_pool_salary_from_choice,1,4
lag_pos_rank,0,0,NA,NA,same_section_origin,occ_rank_worker_pool_salary_from_choice,1,4
lag_court_rank_ext,0,0,NA,NA,same_section_origin,occ_rank_worker_pool_salary_from_choice,1,4
exact_pos_match,0,0,NA,NA,same_section_origin,occ_rank_worker_pool_salary_from_choice,1,4
lag_posrank_x_dest_rank,0,0,NA,NA,same_section_origin,occ_rank_worker_pool_salary_from_choice,1,4
log_salary,-498.523497950738,16.606974052911486,-30.01892436047603,5.557856635218072e-198,same_section_origin,occ_rank_worker_pool_salary_from_choice,1,4
female,-16.780476463665696,24378.26886336432,-6.883374926134894e-4,0.9994507861853923,cross_section_origin,occ_rank_worker_pool_salary_from_choice,6,16
own_tenure,0.2425062888626806,0.21107657328833643,1.148901960481471,0.25059640916604753,cross_section_origin,occ_rank_worker_pool_salary_from_choice,6,16
lag_pos_rank,NA,0,NA,NA,cross_section_origin,occ_rank_worker_pool_salary_from_choice,6,16
lag_court_rank_ext,NA,0,NA,NA,cross_section_origin,occ_rank_worker_pool_salary_from_choice,6,16
exact_pos_match,NA,0,NA,NA,cross_section_origin,occ_rank_worker_pool_salary_from_choice,6,16
lag_posrank_x_dest_rank,NA,0,NA,NA,cross_section_origin,occ_rank_worker_pool_salary_from_choice,6,16
log_salary,0.046006182136139814,0.3937541644991834,0.11683986173112647,0.9069869549741018,cross_section_origin,occ_rank_worker_pool_salary_from_choice,6,16
