event_origin_id,event_id,chosen_distance,n_candidates,n_selected,salary_candidate_share,any_selected_with_salary,all_candidates_with_salary,usable_salary,drop_reason_salary
evt_103||1490,evt_103,same_section,4,1,0.5,TRUE,FALSE,FALSE,candidate_missing_salary
evt_103||7029,evt_103,different_department,2,1,0.5,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_104||1130,evt_104,same_department,10,1,0.1,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_104||7525,evt_104,different_department,12,1,0.08333333333333333,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_105||1490,evt_105,same_section,4,2,0.5,TRUE,FALSE,FALSE,candidate_missing_salary
evt_105||2183,evt_105,different_department,10,1,0.1,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_108||2071,evt_108,same_department,36,1,0.3333333333333333,TRUE,FALSE,FALSE,candidate_missing_salary
evt_109||2071,evt_109,same_department,36,1,0.3333333333333333,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_113||1531,evt_113,same_section,3,1,0,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_114||1449,evt_114,same_section,84,1,0.4880952380952381,TRUE,FALSE,FALSE,candidate_missing_salary
evt_114||8905,evt_114,same_section,34,2,0.4411764705882353,TRUE,FALSE,FALSE,candidate_missing_salary
evt_121||1449,evt_121,same_section,84,1,0.4880952380952381,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_123||6184,evt_123,different_department,2,1,0,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_131||1193,evt_131,same_department,13,1,0.15384615384615385,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_131||1555,evt_131,same_section,21,3,0.6190476190476191,TRUE,FALSE,FALSE,candidate_missing_salary
evt_131||1919,evt_131,same_section,15,1,0.5333333333333333,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_131||2071,evt_131,same_department,36,1,0.3333333333333333,TRUE,FALSE,FALSE,candidate_missing_salary
evt_135||1449,evt_135,same_department,84,2,0.4880952380952381,TRUE,FALSE,FALSE,candidate_missing_salary
