office_id,kyoku_assigned
14,建築局
28,建築局
74,建築局
75,建築局
80,建築局
82,建築局
92,建築局
94,建築局
95,建築局
97,建築局
101,建築局
125,建築局
126,建築局
128,建築局
129,建築局
130,衛生局
132,建築局
135,建築局
137,建築局
141,建築局
145,建築局
146,建築局
147,民生局
157,建築局
163,民生局
164,民生局
168,建築局
180,建築局
181,建築局
185,建築局
189,建築局
190,建築局
191,建築局
195,建築局
239,建築局
242,建築局
249,建築局
258,建築局
267,建築局
274,建築局
275,建築局
278,建築局
284,建築局
302,建築局
303,建築局
312,建築局
319,建築局
321,建築局
322,衛生局
328,建築局
333,建築局
341,建築局
343,建築局
344,建築局
365,建築局
366,建築局
369,建築局
378,民生局
380,建築局
384,建築局
410,建築局
425,建築局
432,建築局
433,建築局
443,建築局
455,建築局
460,建築局
462,建築局
480,建築局
485,建築局
498,建築局
505,建築局
513,建築局
540,建築局
541,建築局
542,建築局
543,建築局
544,建築局
550,建築局
551,建築局
555,建築局
560,建築局
563,建築局
564,建築局
565,建築局
566,建築局
567,建築局
568,建築局
572,建築局
573,建築局
574,建築局
578,建築局
590,建築局
595,建築局
597,建築局
598,建築局
599,建築局
600,建築局
607,建築局
612,建築局
620,建築局
629,衛生局
634,建築局
637,建築局
641,建築局
648,建築局
661,建築局
666,建築局
675,建築局
677,建築局
680,建築局
686,建築局
687,建築局
693,建築局
694,建築局
701,建築局
710,建築局
724,建築局
735,建築局
736,建築局
737,建築局
740,建築局
741,建築局
761,建築局
764,建築局
765,建築局
769,建築局
771,建築局
776,民生局
778,建築局
780,建築局
781,建築局
790,建築局
796,建築局
797,建築局
798,建築局
800,衛生局
802,建築局
804,建築局
810,民生局
814,建築局
817,建築局
818,建築局
823,建築局
824,建築局
826,建築局
827,建築局
829,建築局
832,建築局
838,建築局
839,建築局
841,建築局
853,建築局
861,建築局
867,建築局
868,建築局
875,建築局
882,衛生局
884,建築局
885,建築局
886,建築局
887,建築局
889,建築局
891,建築局
892,建築局
893,建築局
894,衛生局
895,建築局
897,建築局
900,建築局
902,建築局
906,建築局
913,建築局
917,建築局
918,交通局
921,建築局
926,建築局
928,建築局
933,建築局
935,建築局
937,建築局
938,建築局
942,建築局
946,建築局
950,建築局
963,建築局
965,建築局
974,建築局
985,建築局
989,建築局
990,建築局
991,建築局
993,建築局
994,建築局
997,建築局
998,建築局
999,建築局
1000,建築局
1003,建築局
1005,建築局
1016,建築局
1020,建築局
1022,建築局
1026,建築局
1027,建築局
1032,建築局
1034,建築局
1035,建築局
1038,建築局
1039,建築局
1041,建築局
1042,建築局
1043,建築局
1047,建築局
1048,建築局
1050,建築局
1051,建築局
1052,建築局
1054,建築局
1055,建築局
1056,建築局
1061,建築局
1071,建築局
1078,建築局
1079,建築局
1085,建築局
1088,建築局
1091,建築局
1111,建設局
1117,建築局
1121,渉外部
1135,経済局
1151,衛生局
1152,建築局
1158,建築局
1160,建築局
1173,交通局
1183,建築局
1190,建築局
1195,建築局
1196,建築局
1203,建築局
1210,建築局
1213,建築局
1230,建築局
1234,建築局
1240,経済局
1251,建築局
1262,建築局
1263,建築局
1281,経済局
1303,民生局
1312,建築局
1317,建築局
1334,港湾局
1346,民生局
1377,民生局
1383,建築局
1385,建築局
1392,民生局
1394,港湾局
1433,建築局
1434,建築局
1449,建築局
1464,建築局
1467,建築局
1468,建築局
1477,建築局
1480,建築局
1508,経済局
1510,建築局
1515,港湾局
1520,渉外部
1522,建築局
1581,経済局
1591,建築局
1599,建築局
1602,建築局
1611,経済局
1618,建築局
1625,建築局
1658,建設局
1664,民生局
1673,建築局
1679,建築局
1718,渉外部
1721,建築局
1731,経済局
1763,水道局
1778,建築局
1810,港湾局
1820,民生局
1849,交通局
1856,建築局
1862,建築局
1896,建築局
1898,労働局
1906,建築局
1909,交通局
1919,衛生局
1928,建設局
1932,建築局
1945,水道局
1946,水道局
1952,建築局
1960,建築局
1961,建築局
1989,経済局
2003,建設局
2063,建築局
2064,建築局
2065,建築局
2098,建築局
2103,建築局
2118,建設局
2127,建築局
2128,建築局
2147,建築局
2152,建築局
2164,建築局
2187,建築局
2190,建築局
2201,建築局
2207,衛生局
2265,建築局
2271,建築局
2280,建築局
2281,建築局
2283,建築局
2285,建築局
2288,建築局
2291,建築局
2292,建築局
2295,建築局
2296,建築局
2300,建築局
2304,建築局
2306,建築局
2308,建築局
2420,建築局
2421,建築局
2453,建築局
2461,建築局
2463,建築局
2465,建築局
2466,建築局
2468,建築局
2485,建築局
2487,建築局
2492,建築局
2501,衛生局
2506,建築局
2511,建築局
2513,建築局
2516,建築局
2518,建築局
2521,建築局
2522,衛生局
2528,建築局
2531,衛生局
2532,衛生局
2533,建築局
2534,建築局
2535,建築局
2536,建築局
2538,建築局
2539,建築局
2547,建築局
2554,建築局
2562,建築局
2563,建築局
2565,衛生局
2571,建築局
2580,建築局
2582,衛生局
2584,労働局
2585,労働局
2588,建築局
2589,衛生局
2592,建築局
2601,建築局
2602,建築局
2621,建築局
2633,建築局
2637,交通局
2642,交通局
2657,交通局
2670,建築局
2683,建築局
2691,衛生局
2692,衛生局
2696,水道局
2704,建築局
2713,建築局
2715,建築局
2752,建築局
2753,建築局
2762,労働局
2770,港湾局
2782,建築局
2787,建築局
2801,建築局
2815,建築局
2819,建築局
2836,建築局
2844,建築局
2846,建築局
2851,建築局
2852,建築局
2856,建築局
2861,衛生局
2865,建築局
2866,建築局
2867,建築局
2870,建築局
2872,衛生局
2873,衛生局
2874,衛生局
2876,建築局
2879,建築局
2880,建築局
2881,建築局
2912,建築局
2914,港湾局
2935,建築局
2937,建築局
2938,建築局
2941,建築局
2942,建築局
2944,建築局
2953,建築局
2955,建築局
2961,建築局
2962,建築局
2964,衛生局
2966,建築局
2992,建築局
2994,建築局
2995,建築局
2999,建築局
3001,総務局
3003,衛生局
3008,建築局
3012,衛生局
3015,建築局
3016,建築局
3021,建築局
3026,建築局
3028,建築局
3033,建築局
3040,建築局
3047,建築局
3060,衛生局
3069,建築局
3079,建築局
3086,水道局
3090,建築局
3097,建築局
3099,建築局
3105,建築局
3113,建築局
3138,衛生局
3143,建築局
3144,建築局
3156,建築局
3164,建築局
3167,建築局
3177,建築局
3182,建築局
3185,建築局
3193,建築局
3197,建築局
3199,建築局
3204,建築局
3208,衛生局
3209,衛生局
3211,建築局
3213,建築局
3215,建築局
3220,建築局
3222,建築局
3224,建築局
3225,建築局
3227,建築局
3242,建築局
3245,建築局
3246,建築局
3248,衛生局
3260,建築局
3296,建築局
3322,衛生局
3323,建築局
3333,建築局
3338,建築局
3341,建築局
3343,建築局
3345,建築局
3348,建築局
3353,衛生局
3367,建築局
3368,建築局
3369,建築局
3372,建築局
3376,建築局
3380,建築局
3398,港湾局
3407,建築局
3418,建築局
3517,交通局
3518,交通局
3523,建築局
3535,建築局
3548,建築局
3554,建築局
3564,建築局
3566,建築局
3571,建築局
3573,衛生局
3581,建築局
3613,建築局
3642,建築局
3657,建築局
3658,衛生局
3685,建築局
3704,建築局
3709,建築局
3722,建築局
3724,建築局
3727,建築局
3733,建築局
3744,建築局
3745,建築局
3747,建築局
3749,建築局
3750,建築局
3753,建築局
3754,建築局
3755,建築局
3760,建築局
3761,建築局
3763,建築局
3767,建築局
3771,建築局
3775,建築局
3779,衛生局
3781,建築局
3782,建築局
