ka,n_staff,is_hq,looks_ward
税務課,438,FALSE,FALSE
土木課,217,FALSE,FALSE
総務課,216,FALSE,FALSE
民生課,158,FALSE,FALSE
教育課,154,FALSE,FALSE
建築課,144,FALSE,FALSE
経済課,130,FALSE,FALSE
戸籍課,80,FALSE,FALSE
林務課,80,FALSE,FALSE
NA,75,NA,NA
税務第一課,71,FALSE,FALSE
木課,57,FALSE,FALSE
産業課,52,FALSE,FALSE
副収入役室,43,FALSE,FALSE
税務第二課,41,FALSE,FALSE
経理課,41,FALSE,FALSE
収入役室,40,FALSE,FALSE
第三出張所,37,FALSE,TRUE
第六出張所,34,FALSE,TRUE
生課,29,FALSE,FALSE
第五出張所,27,FALSE,TRUE
厚生課,26,FALSE,FALSE
区民課,25,FALSE,FALSE
第四出張所,23,FALSE,TRUE
大田区役所,22,FALSE,TRUE
縣務課,22,FALSE,FALSE
恐務課,21,FALSE,FALSE
第一出張所,20,FALSE,TRUE
にざ課,19,FALSE,FALSE
江戸川区役所,16,FALSE,TRUE
町出敬所,16,FALSE,FALSE
税秀課,16,FALSE,FALSE
第二出張所,16,FALSE,TRUE
號務課,16,FALSE,FALSE
区政課,14,FALSE,FALSE
土本課,14,FALSE,FALSE
玉川支所,14,FALSE,TRUE
第十出張所,14,FALSE,TRUE
区長室,13,FALSE,FALSE
教育庁北多摩出張所,13,FALSE,TRUE
第十四出張所,13,FALSE,TRUE
級青課,13,FALSE,FALSE
区民相談所,12,FALSE,FALSE
名導室,12,FALSE,FALSE
財政課,12,FALSE,FALSE
)〓松澤民生等務所,11,FALSE,FALSE
庶く務課,11,FALSE,FALSE
教育第一課,11,FALSE,FALSE
第十九出張所,11,FALSE,TRUE
課,11,FALSE,FALSE
調布支所,11,FALSE,TRUE
赤塚民生導務所,11,FALSE,FALSE
代〓民生事務所,10,FALSE,FALSE
所,10,FALSE,FALSE
濱課,10,FALSE,FALSE
赤塚支所,10,FALSE,TRUE
上〓托戸出張所,9,FALSE,TRUE
大井第出幾所,9,FALSE,FALSE
庶民課,9,FALSE,FALSE
江戸川区役所葛西支所,9,FALSE,TRUE
第九出張所,9,FALSE,TRUE
顯務課,9,FALSE,FALSE
土木第一課,8,FALSE,FALSE
変築第一課,8,FALSE,FALSE
成増出張所,8,FALSE,TRUE
戸藉課,8,FALSE,FALSE
排水所,8,FALSE,FALSE
教育第二課,8,FALSE,FALSE
民生戸籍課,8,FALSE,FALSE
砧支所,8,FALSE,TRUE
笹縁出張所,8,FALSE,TRUE
舊西民生嘉務所,8,FALSE,FALSE
話務課,8,FALSE,FALSE
戸民生〓務所,7,FALSE,FALSE
教育応西多摩出張所,7,FALSE,TRUE
文化課,7,FALSE,FALSE
月光原民生導務所,7,FALSE,FALSE
民生事務所,7,FALSE,FALSE
民生第一課,7,FALSE,FALSE
清沓中通出張所,7,FALSE,TRUE
第八出張所,7,FALSE,TRUE
経済第一課,7,FALSE,FALSE
冊務課,6,FALSE,FALSE
区民第二課,6,FALSE,FALSE
千住常東民生縣務所,6,FALSE,FALSE
南千住民生事務所,6,FALSE,FALSE
土木第二課,6,FALSE,FALSE
戸籍第二課,6,FALSE,FALSE
戸課,6,FALSE,FALSE
注原爲二出張所,6,FALSE,TRUE
第六出〓所,6,FALSE,FALSE
築課,6,FALSE,FALSE
経濱課,6,FALSE,FALSE
上〓田出張所,5,FALSE,TRUE
企画室,5,FALSE,FALSE
品川区役所,5,FALSE,TRUE
天神出張所,5,FALSE,TRUE
平松川特別出張所,5,FALSE,TRUE
建築第二課,5,FALSE,FALSE
戸籍第一課,5,FALSE,FALSE
数育課,5,FALSE,FALSE
杉並区役所,5,FALSE,TRUE
松川分室,5,FALSE,FALSE
民生第二課,5,FALSE,FALSE
瀧野川支所,5,FALSE,TRUE
爲務課,5,FALSE,FALSE
爲込民生事務所,5,FALSE,FALSE
第七出張所,5,FALSE,TRUE
級育課,5,FALSE,FALSE
足立区役所,5,FALSE,TRUE
や第二田張所,4,FALSE,FALSE
初台出張所,4,FALSE,TRUE
北区役所,4,FALSE,TRUE
区南和田出張所,4,FALSE,TRUE
区民第一課,4,FALSE,FALSE
町出張所,4,FALSE,TRUE
第十七出張所,4,FALSE,TRUE
籍課,4,FALSE,FALSE
葛飾区役所,4,FALSE,TRUE
谷〓出張所,4,FALSE,TRUE
上原出張所,3,FALSE,TRUE
世田谷区役所,3,FALSE,TRUE
中野区役所,3,FALSE,TRUE
事務吏員〓井勝署,3,FALSE,FALSE
出張所,3,FALSE,TRUE
大険民生導羽所,3,FALSE,FALSE
宮〓出張所,3,FALSE,TRUE
板橋区役所,3,FALSE,TRUE
梅〓派出張所,3,FALSE,TRUE
