year,kyoku,ka,ka_group
1934,,文書課,461
1934,中央卸売市場,企画課,30
1934,保健局,下水課,141
1934,保健局,下谷区出張所,1179
1934,保健局,中野区出張所,3
1934,保健局,京橋区出張所,1167
1934,保健局,公園課,51
1934,保健局,向島区出張所,908
1934,保健局,品川区出張所,3
1934,保健局,城東区出張所,67
1934,保健局,小室,1
1934,保健局,小石川区出張所,1163
1934,保健局,庶務課,44
1934,保健局,所,19
1934,保健局,擴張課,19
1934,保健局,日本橋区出張所,1169
1934,保健局,木場,83
1934,保健局,本所区出張所,1156
1934,保健局,本郷区出張所,1168
1934,保健局,杉並区出張所,20
1934,保健局,板橋区出張所,890
1934,保健局,業務課,1
1934,保健局,浅草区出張所,1178
1934,保健局,清掃課,44
1934,保健局,王子区出張所,67
1934,保健局,神田区出張所,1164
1934,保健局,給水課,1
1934,保健局,芝区出張所,328
1934,保健局,葛飾区出張所,142
1934,保健局,赤坂区出張所,190
1934,保健局,足立区出張所,67
1934,保健局,道路建設課,6
1934,保健局,道路管理課,5
1934,保健局,麹町区出張所,860
1934,告補助局,下谷区役所,82
1934,告補助局,世田谷区役所,25
1934,告補助局,中野区役所,94
1934,告補助局,京橋区役所,106
1934,告補助局,会計課,84
1934,告補助局,会議室,143
1934,告補助局,収納課,29
1934,告補助局,古石場,41
1934,告補助局,司長室,1339
1934,告補助局,向島区役所,49
1934,告補助局,品川区役所,98
1934,告補助局,四谷区役所,90
1934,告補助局,城東区役所,100
1934,告補助局,大森区役所,101
1934,告補助局,室,184
1934,告補助局,小石川区役所,1023
1934,告補助局,新宿派出所,849
1934,告補助局,日本橋区役所,29
1934,告補助局,本所区役所,43
1934,告補助局,本郷区役所,99
1934,告補助局,杉並区役所,88
1934,告補助局,橋場,27
1934,告補助局,江戸川区役所,186
1934,告補助局,浅草区役所,43
1934,告補助局,淀橋区役所,25
1934,告補助局,深川区役所,97
1934,告補助局,牛込区役所,933
1934,告補助局,玉川派出所,25
1934,告補助局,王子区役所,95
1934,告補助局,療養所,137
1934,告補助局,目黒区役所,50
1934,告補助局,神田区役所,29
1934,告補助局,練馬派出所,95
1934,告補助局,芝区役所,89
1934,告補助局,茅場,63
1934,告補助局,草場,63
1934,告補助局,荏原区役所,50
1934,告補助局,荒川区役所,87
1934,告補助局,葛飾区役所,102
1934,告補助局,蒲田区役所,93
1934,告補助局,調布派出所,1075
1934,告補助局,議事課,27
1934,告補助局,赤坂区役所,329
1934,告補助局,足立区役所,49
1934,告補助局,電車課,1343
1934,告補助局,麹町区役所,29
1934,土木局,擴張課,1227
1934,土木局,課,1349
1934,市会事務局,156〃職工詰所,1347
1934,教育局,体育課,34
1934,教育局,社会教育課,104
1934,教育局,茅場,34
1934,東京市内一郵便局,市公報報告主任大野室,1281
1934,東京市内一郵便局,文書課,28
1934,東京市内一郵便局,東京市役所,802
1934,東京市内一郵便局,職員課,28
1934,監査局,区政課,1028
1934,監査局,庶務課,188
1934,監査局,監察課,68
1934,監査局,統計課,85
1934,監査局,都市計画課,86
1934,社会局,保護課,327
1934,社会局,古石場,42
1934,社会局,品川職業紹介所,44
1934,社会局,宿治所,1295
1934,社会局,宿泊所,96
1934,社会局,庶務課,105
1934,社会局,石場,189
1934,社会局,福利課,1293
1934,社会局,職業課,52
1934,財務局,主計課,66
1934,財務局,会計課,1
1934,財務局,公債課,66
1934,財務局,兵事課・会計課,1351
1934,財務局,収納課,1
1934,財務局,古石場,948
1934,財務局,商工課,65
1934,財務局,地理課,2
1934,財務局,室,324
1934,財務局,宮〓業組合所,1284
1934,財務局,工年現場,135
1934,財務局,所,1283
1934,財務局,杉並区役所,585
1934,財務局,洲崎三業組合所,187
1934,財務局,経理課,103
1934,財務局,自動車課,136
1934,財務局,農漁課,64
1934,財務局,麻布区役所,480
1934,電気局,会計課,4
1934,電気局,労働課,35
1934,電気局,印刷工場,4
1934,電気局,室,2
1934,電気局,庶務課,2
