year_num,gov_level,office_id,office,office_norm,ward_current,historical_ward_guess,ward_assignment_method,ward_jp,historical_wards,slug,distance_to_yurakucho_km,central_hq,ward_guess_jp,ward_centroid_lat,ward_centroid_lon
1941,TokyoFu,10,)並農産工藝學校,)並農産工藝学校,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,65,Unknown Office,Unknown Office,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,1093,○三ツ木診療所,三ツ木診療所,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,1095,○三宅島出張所,三宅島出張所,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,1096,○三河島共同住宅管理事務所,三河島共同住宅管理事務所,Arakawa,Arakawa,name_keyword,荒川区,Arakawa,arakawa-ku,7.031496040938235,0,荒川区,35.7361,139.7833
1941,TokyoFu,1098,○三河島診療所,三河島診療所,Arakawa,Arakawa,name_keyword,荒川区,Arakawa,arakawa-ku,7.031496040938235,0,荒川区,35.7361,139.7833
1941,TokyoFu,1099,○上野出張所,上野出張所,Taito,Shitaya/Asakusa,name_keyword,台東区,Shitaya; Asakusa,taito-ku,4.449000431186642,0,台東区,35.7126,139.7802
1941,TokyoFu,1109,○世田谷出張所,世田谷出張所,Setagaya,Setagaya,name_keyword,世田谷区,Setagaya,setagaya-ku,10.467247155679628,0,世田谷区,35.6466,139.6532
1941,TokyoFu,1162,○五反田出張所,五反田出張所,Shinagawa,Shinagawa/Ebara,name_keyword,品川区,Shinagawa; Ebara,shinagawa-ku,7.911354355149989,0,品川区,35.6092,139.7301
1941,TokyoFu,1179,○代用品相談所,代用品相談所,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,1214,○六郷出張所,六郷出張所,Ota,Omori/Kamata,name_keyword,大田区,Omori; Kamata,ota-ku,13.333925749206644,0,大田区,35.5614,139.7161
1941,TokyoFu,1242,○北多摩方面事務所,北多摩方面事務所,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,1267,○千住出張所,千住出張所,Adachi,Adachi,name_keyword,足立区,Adachi,adachi-ku,11.721325980632413,0,足立区,35.775,139.8044
1941,TokyoFu,1273,○南多摩方面事務所,南多摩方面事務所,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,1295,○向島診療所,向島診療所,Sumida,Honjo/Mukojima,name_keyword,墨田区,Honjo; Mukojima,sumida-ku,5.244001702733323,0,墨田区,35.7107,139.8015
